id,volume,addTime
0,18019,47108
1,42647,72426
2,25370,55554
3,24053,61093
4,18151,51892
5,22543,54541
6,18657,57590
7,6620,46811
8,35164,66704
9,45984,80412
10,12877,44178
11,36045,68592
12,42909,76461
13,18212,60829
14,18359,55640
15,28110,68590
16,6513,39219
17,2942,44036
18,11808,45880
19,39209,74537
20,7726,38981
21,3542,48458
22,38713,69383
23,6431,51415
24,6146,39886
25,382,52240
26,4247,48510
27,15663,60057
28,4390,44214
29,43040,88191
30,5135,39470
31,27735,55657
32,8450,53286
33,29101,59499
34,4444,39627
35,14776,56133
36,9969,42822
37,582,39815
38,27080,68688
39,13565,44209
40,8242,41829
41,13999,58878
42,29375,60682
43,8452,45941
44,7076,51485
45,5171,40218
46,11350,45300
47,5772,56584
48,15158,46037
49,10681,55520
50,82,43953
51,882,36540
52,2412,41582
53,4286,82749
54,8109,57049
55,934,43085
56,15645,50498
57,12891,55159
58,3832,49889
59,8724,53691
60,17344,65051
61,16398,44793
62,1814,36636
63,24558,51249
64,2440,36995
65,10545,57819
66,7257,42141
67,1220,36822
68,71,33039
69,4670,35789
70,22026,46916
71,7315,59211
72,2481,39968
73,2206,37196
74,1701,35449
75,9524,39957
76,2363,36466
77,12215,64635
78,11477,49239
79,7761,40827
80,3388,36959
81,1227,34897
82,11270,41469
83,13483,71807
84,15843,50748
85,5106,40103
86,4661,39643
87,6653,39761
88,4206,37978
89,12658,68936
90,5871,46750
91,1642,38233
92,20281,48223
93,7611,40997
94,4581,38783
95,8103,67633
96,1200,49282
97,3913,41542
98,3067,39420
99,1503,37317
