id,volume,addTime
0,18019,58828
1,42647,83335
2,25370,68527
3,24053,65509
4,18151,61475
5,22543,48503
5@75189,4,36132
6,18657,44579
2@36543,1,33048
7,6620,37175
1@10180,5,35954
8,35164,64554
8@94799,5,50596
9,45984,83002
10,12877,52990
9@15251,7,33840
11,36045,65619
2@10467,4,34702
2@42088,5,34854
2@71179,3,33682
12,42909,65067
1@57213,2,32992
13,18212,43386
14,18359,48654
2@17624,2,50436
15,28110,67843
16,6513,45906
10@66260,1,46436
17,2942,43534
6@26729,1,37842
18,11808,42486
2@29351,5,33581
19,39209,65780
6@63906,2,32793
20,7726,36299
2@1583,2,33966
12@26451,5,63597
2@40232,2,69746
21,3542,50924
21@87321,1,37320
19@42556,4,36723
16@14612,1,36494
22,38713,67722
13@79359,1,35389
0@45810,1,36251
1@22496,6,34552
23,6431,36930
10@20955,1,36623
10@26919,1,34507
12@80724,11,67512
24,6146,51355
6@8852,2,52699
6@90111,2,45184
1@45916,5,47664
24@1057,1,51780
1@66387,5,44450
2@2891,3,42291
1@91465,4,41857
25,382,38875
5@48027,5,36612
2@81079,2,56053
1@1435,4,60442
24@2027,1,61633
2@17419,2,57060
3@94112,2,47801
12@56840,5,39013
26,4247,40965
3@50050,1,38339
22@49210,10,36614
12@39450,8,36575
27,15663,43669
28,4390,39466
29,43040,68212
12@96970,9,33416
30,5135,45817
1@66136,5,81552
27@35357,2,39941
30@88019,2,58338
5@63873,2,54490
27@32901,2,42980
31,27735,57612
32,8450,39912
1@96326,4,35791
9@99289,4,36292
2@25019,3,36604
33,29101,52232
15@53527,2,36088
34,4444,37488
12@56143,4,35530
35,14776,49339
14@37872,1,42710
24@7260,1,65954
1@25770,6,52372
0@15735,2,41860
11@70763,4,37169
6@17194,1,37969
1@33274,8,38261
9@12312,4,38313
1@29467,6,38002
1@90918,7,36566
24@78552,2,36626
31@49342,8,36064
24@56083,1,38028
6@81813,1,58445
2@84216,4,67159
2@71674,5,60374
5@87082,1,66102
9@41367,10,62108
21@2781,1,54121
5@3738,1,49710
12@21958,5,45968
5@5878,1,44636
5@51197,2,43555
5@37104,2,43021
5@5600,2,42302
21@99224,2,63904
1@88594,5,48340
9@73682,7,72492
5@1596,1,54306
12@61041,4,45326
12@39085,12,39810
2@5752,4,38037
