keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F24246#F35798,         55,         17,        74,            1,          40,   1
F26058#F38169,        147,        113,       263,            7,         320,   8
F457#F15241  ,        995,        834,      1830,           35,        2280,  57
F62532#F15114,         20,         18,        39,            1,          40,   1
F37132#F62283,         20,         14,        35,            0,          40,   1
F2958#F6934  ,       1552,       1288,      2842,           61,        3560,  89
F29629#F50883,        268,        221,       491,            7,         600,  15
F52605#F49058,         69,         58,       128,            2,         160,   4
F42050#F2458 ,        162,        130,       294,            5,         360,   9
F36254#F43672,        344,        278,       623,           13,         760,  19
F11896#F44969,        197,        158,       357,           11,         440,  11
F3909#F59272 ,         35,         31,        67,            1,          80,   2
F41795#F27576,        163,        129,       293,            8,         360,   9
F2999#F20262 ,        547,        455,      1003,           25,        1280,  32
F8525#F26798 ,        125,        103,       229,            6,         280,   7
F59733#F41500,         19,         15,        35,            0,          40,   1
F49195#F46528,         51,         42,        94,            2,         120,   3
F26843#F46242,         73,         61,       135,            3,         160,   4
F40583#F28826,        387,        302,       689,           16,         840,  21
F38843#F42223,        170,        143,       314,            6,         400,  10
F10183#F59310,         38,         28,        67,            1,          80,   2
F60824#F56307,         18,         14,        34,            0,          40,   1
F39720#F52890,        179,        148,       328,            5,         400,  10
F53391#F24437,        106,         87,       195,            4,         240,   6
F55048#F24688,         97,         87,       185,            4,         240,   6
F17480#F62906,         21,         15,        37,            1,          40,   1
F22593#F38594,        372,        303,       676,            9,         840,  21
F1642#F61189 ,         19,         15,        34,            1,          40,   1
F38885#F24171,        245,        204,       450,            9,         560,  14
F60353#F27483,         19,         15,        35,            1,          40,   1
F36386#F3771 ,        260,        217,       479,           11,         600,  15
F35791#F35783,         20,         15,        36,            0,          40,   1
F29543#F44082,        108,         89,       198,            0,         240,   6
F56421#F23162,         19,         16,        36,            1,          40,   1
F48150#F16730,        191,        163,       355,            8,         440,  11
F32167#F48740,         37,         28,        66,            1,          80,   2
F47087#F25311,         72,         58,       131,            2,         160,   4
F17021#F29910,        243,        208,       455,           11,         560,  14
F11017#F51717,        283,        239,       523,            7,         640,  16
F21385#F11576,        275,        219,       496,            7,         600,  15
F4854#F48290 ,         71,         61,       133,            4,         160,   4
F3496#F62535 ,         19,         16,        35,            1,          40,   1
F58390#F49861,         19,         15,        35,            0,          40,   1
F52209#F58202,         36,         30,        67,            0,          80,   2
F32175#F54382,         20,         17,        38,            0,          40,   1
F51949#F55988,        122,        105,       228,            3,         280,   7
F12617#F35280,         37,         29,        67,            1,          80,   2
F754#F40813  ,        147,        118,       266,            8,         320,   8
F61890#F11570,         20,         16,        37,            0,          40,   1
F46162#F45533,        112,         86,       199,            4,         240,   6
F61711#F53614,         20,         16,        37,            1,          40,   1
F20924#F4508 ,        778,        640,      1419,           30,        1760,  44
F57126#F4272 ,         36,         27,        64,            1,          80,   2
F14692#F1529 ,        979,        822,      1802,           35,        2240,  56
F21381#F4772 ,        240,        203,       445,           10,         560,  14
F39842#F60584,         19,         14,        34,            0,          40,   1
F54528#F39519,         85,         75,       161,            4,         200,   5
F17576#F21754,         19,         14,        34,            1,          40,   1
F60230#F62817,         19,         15,        35,            0,          40,   1
F34731#F43115,         57,         43,       101,            1,         120,   3
F48398#F962  ,         75,         60,       136,            3,         160,   4
F19158#F25032,        566,        454,      1021,           25,        1280,  32
F28213#F39050,        222,        175,       398,            5,         480,  12
F14611#F59055,         20,         15,        36,            1,          40,   1
F45828#F8419 ,         38,         30,        68,            2,          80,   2
F2758#F30923 ,         36,         30,        68,            2,          80,   2
F52551#F61696,         19,         15,        35,            0,          40,   1
F16044#F20392,        374,        306,       680,           18,         840,  21
F53978#F38847,         37,         29,        66,            0,          80,   2
F40856#F34921,         87,         72,       160,            1,         200,   5
F10420#F27963,        162,        132,       295,            9,         360,   9
F6436#F4970  ,        265,        212,       478,           12,         600,  15
F6585#F10415 ,        395,        336,       732,           16,         920,  23
F49441#F6340 ,        164,        131,       296,            8,         360,   9
F53873#F32236,         19,         13,        33,            0,          40,   1
F21747#F31730,        107,         87,       195,            2,         240,   6
F4815#F15632 ,       1184,       1006,      2191,           44,        2760,  69
F10317#F37978,        105,         85,       191,            3,         240,   6
F52380#F42236,         76,         59,       136,            2,         160,   4
F44397#F34211,        262,        201,       464,            6,         560,  14
F49383#F16405,        312,        263,       576,           11,         720,  18
F25274#F42129,        225,        187,       414,            8,         520,  13
F35442#F17051,         17,         15,        33,            1,          40,   1
F11521#F11840,        354,        285,       640,           13,         800,  20
F61173#F27526,         18,         15,        34,            0,          40,   1
F1598#F4877  ,       1021,        850,      1873,           45,        2360,  59
F62878#F31375,         22,         14,        38,            1,          40,   1
F28558#F62327,         18,         14,        33,            1,          40,   1
F47324#F25660,         18,         15,        34,            0,          40,   1
F57898#F34567,         37,         29,        67,            2,          80,   2
F4755#F11840 ,        335,        279,       615,           13,         800,  20
F41800#F22473,        181,        161,       344,            7,         440,  11
F33746#F23605,        122,        102,       226,            6,         280,   7
F50542#F24824,         49,         43,        93,            3,         120,   3
F28036#F13852,        486,        426,       913,           23,        1160,  29
F59044#F23571,         70,         60,       131,            2,         160,   4
F40782#F22566,         85,         74,       160,            2,         200,   5
F39751#F25312,         37,         28,        65,            2,          80,   2
F13664#F5675 ,        664,        567,      1232,           22,        1560,  39
F23244#F52991,         94,         73,       167,            2,         200,   5
F54135#F45471,         87,         73,       161,            3,         200,   5
F46650#F48765,        157,        129,       287,            7,         360,   9
F17860#F20917,        521,        429,       950,           18,        1200,  30
F15548#F36720,        107,         86,       195,            5,         240,   6
F13456#F7466 ,       1055,        876,      1933,           37,        2440,  61
F63263#F9303 ,         18,         13,        33,            1,          40,   1
F22294#F45407,        233,        189,       423,            6,         520,  13
F25994#F61924,         19,         17,        37,            1,          40,   1
F11538#F30424,        410,        330,       740,           16,         920,  23
F789#F13260  ,        656,        537,      1194,           23,        1480,  37
F24504#F22388,        134,         92,       229,            5,         240,   6
F8043#F21441 ,        421,        334,       757,           17,         880,  22
F24055#F56142,         21,         16,        38,            1,          40,   1
F13096#F5112 ,        954,        775,      1730,           27,        2080,  52
F61622#F30423,         22,         15,        38,            1,          40,   1
F13929#F29974,         76,         63,       140,            3,         160,   4
F2164#F27095 ,        290,        227,       517,           11,         600,  15
F24699#F40274,        279,        206,       486,            6,         560,  14
F8338#F15187 ,       1408,       1091,      2501,           47,        2920,  73
F13683#F22982,        638,        515,      1154,           29,        1360,  34
F58736#F51541,         60,         47,       108,            1,         120,   3
F42967#F4575 ,        175,        125,       301,            7,         320,   8
F56352#F29439,         20,         16,        37,            0,          40,   1
F51153#F1510 ,        258,        209,       468,           10,         560,  14
