keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F24246#F35798,         65,         19,        87,            0,          40,    1
F26058#F38169,        378,        250,       630,            0,         600,   15
F457#F15241  ,       7195,       4345,     11564,            1,       10960,  274
F62532#F15114,         31,         18,        51,            0,          40,    1
F37132#F62283,         31,         17,        49,            0,          40,    1
F2958#F6934  ,      11699,       8650,     20352,            0,       21120,  528
F29629#F50883,        757,        456,      1216,            0,         840,   21
F52605#F49058,        121,         97,       219,            0,         240,    6
F42050#F2458 ,        254,        196,       452,            0,         520,   13
F36254#F43672,        851,        706,      1559,            0,        1800,   45
F11896#F44969,        431,        355,       788,            0,         920,   23
F3909#F59272 ,         37,         30,        68,            0,          80,    2
F41795#F27576,        228,        187,       416,            0,         480,   12
F2999#F20262 ,       1677,       1329,      3008,            0,        3440,   86
F8525#F26798 ,        219,        172,       392,            0,         440,   11
F59733#F41500,         24,         15,        40,            0,          40,    1
F49195#F46528,         79,         62,       144,            0,         160,    4
F26843#F46242,        149,        109,       260,            0,         280,    7
F40583#F28826,        716,        589,      1322,            0,        1520,   38
F38843#F42223,        301,        246,       549,            0,         640,   16
F10183#F59310,         39,         32,        72,            0,          80,    2
F60824#F56307,         23,         16,        40,            0,          40,    1
F39720#F52890,        306,        245,       551,            0,         640,   16
F53391#F24437,        151,        121,       273,            0,         320,    8
F55048#F24688,        114,         94,       209,            0,         240,    6
F17480#F62906,         42,         31,        74,            0,          40,    1
F22593#F38594,       1027,        717,      1746,            0,        1880,   47
F1642#F61189 ,         22,         17,        40,            0,          40,    1
F38885#F24171,        682,        565,      1257,            0,        1440,   36
F60353#F27483,         24,         18,        43,            0,          40,    1
F36386#F3771 ,        700,        576,      1278,            0,        1480,   37
F35791#F35783,         39,         17,        58,            0,          40,    1
F29543#F44082,        157,        122,       281,            0,         320,    8
F56421#F23162,         21,         22,        45,            0,          40,    1
F48150#F16730,        378,        282,       662,            0,         720,   18
F32167#F48740,         61,         48,       110,            0,         120,    3
F47087#F25311,         95,         78,       174,            0,         200,    5
F17021#F29910,        494,        398,       893,            0,        1040,   26
F11017#F51717,        679,        414,      1094,            0,        1080,   27
F21385#F11576,        634,        504,      1139,            0,        1320,   33
F4854#F48290 ,         84,         64,       150,            0,         160,    4
F3496#F62535 ,         21,         16,        39,            0,          40,    1
F58390#F49861,         18,         14,        34,            0,          40,    1
F52209#F58202,         35,         32,        68,            0,          80,    2
F32175#F54382,         40,         33,        74,            0,          80,    2
F51949#F55988,        149,        119,       270,            0,         320,    8
F12617#F35280,         44,         31,        76,            0,          80,    2
F754#F40813  ,        240,        198,       439,            0,         520,   13
F61890#F11570,         23,         19,        43,            0,          40,    1
F46162#F45533,        226,        183,       411,            0,         480,   12
F61711#F53614,         26,         17,        45,            0,          40,    1
F20924#F4508 ,       3649,       2809,      6460,            0,        7240,  181
F57126#F4272 ,         80,         56,       137,            0,          80,    2
F14692#F1529 ,       6564,       5099,     11677,            1,       12560,  314
F21381#F4772 ,       1071,        504,      1576,            0,        1320,   33
F39842#F60584,         40,         30,        71,            0,          40,    1
F54528#F39519,        129,         81,       212,            0,         200,    5
F17576#F21754,         40,         35,        78,            0,          80,    2
F60230#F62817,         21,         15,        37,            0,          40,    1
F34731#F43115,        148,        106,       255,            0,         280,    7
F48398#F962  ,        126,         80,       208,            0,         200,    5
F19158#F25032,       2451,       1915,      4368,            0,        4760,  119
F28213#F39050,       1039,        509,      1549,            0,        1240,   31
F14611#F59055,         31,         16,        48,            0,          40,    1
F45828#F8419 ,        123,        102,       227,            0,         240,    6
F2758#F30923 ,         56,         39,        96,            0,          80,    2
F52551#F61696,         30,         18,        50,            0,          40,    1
F16044#F20392,       1299,       1229,      2530,            0,        2400,   60
F53978#F38847,         42,         31,        74,            0,          80,    2
F40856#F34921,        137,        125,       263,            0,         240,    6
F10420#F27963,        282,        209,       494,            0,         520,   13
F6436#F4970  ,        834,        773,      1610,            0,        1520,   38
F6585#F10415 ,       1012,       1134,      2147,            0,        1920,   48
F49441#F6340 ,        302,        245,       556,            0,         640,   16
F53873#F32236,         22,         16,        39,            0,          40,    1
F21747#F31730,        168,        134,       321,            0,         360,    9
F4815#F15632 ,       7236,       6538,     13777,            1,       16400,  410
F10317#F37978,        132,        105,       240,            0,         280,    7
F52380#F42236,         72,         61,       134,            0,         160,    4
F44397#F34211,        421,        327,       762,            0,         840,   21
F49383#F16405,        994,        654,      1662,            0,        1680,   42
F25274#F42129,        434,        311,       746,            0,         800,   20
F35442#F17051,         22,         17,        40,            0,          40,    1
F11521#F11840,       1025,        785,      1812,            0,        2040,   51
F61173#F27526,         30,         17,        48,            0,          40,    1
F1598#F4877  ,       3903,       3291,      7205,            0,        8160,  204
F62878#F31375,         35,         23,        59,            0,          40,    1
F28558#F62327,         34,         22,        57,            0,          40,    1
F47324#F25660,         24,         21,        46,            0,          40,    1
F57898#F34567,         49,         40,        90,            0,          80,    2
F4755#F11840 ,       1110,       1022,      2134,            1,        2040,   51
