keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F24246#F35798,         78,         18,        99,            0,          40,    1
F26058#F38169,        195,         76,       274,            0,         600,   15
F457#F15241  ,        918,        376,      1297,            2,       10960,  274
F62532#F15114,         47,         31,        79,            0,          40,    1
F37132#F62283,         47,         34,        82,            0,          40,    1
F2958#F6934  ,       1306,        553,      1861,            2,       21120,  528
F29629#F50883,        114,         96,       213,            0,         840,   21
F52605#F49058,         59,         41,       103,            0,         240,    6
F42050#F2458 ,         82,         77,       161,            0,         520,   13
F36254#F43672,        177,         94,       290,            0,        1800,   45
F11896#F44969,        122,         87,       212,            0,         920,   23
F3909#F59272 ,         55,         28,        85,            0,          80,    2
F41795#F27576,         86,         75,       164,            0,         480,   12
F2999#F20262 ,        315,        134,       451,            0,        3440,   86
F8525#F26798 ,         90,         68,       160,            0,         440,   11
F59733#F41500,         41,         30,        72,            0,          40,    1
F49195#F46528,         54,         36,        93,            0,         160,    4
F26843#F46242,         63,         39,       104,            0,         280,    7
F40583#F28826,        184,        102,       288,            0,        1520,   38
F38843#F42223,         91,         83,       176,            0,         640,   16
F10183#F59310,         40,         34,        76,            0,          80,    2
F60824#F56307,         32,         19,        52,            0,          40,    1
F39720#F52890,         92,         97,       191,            0,         640,   16
F53391#F24437,         57,         72,       131,            0,         320,    8
F55048#F24688,         50,         72,       125,            0,         240,    6
F17480#F62906,         41,         18,        60,            0,          40,    1
F22593#F38594,        181,        103,       298,            0,        1880,   47
F1642#F61189 ,         33,         18,        52,            0,          40,    1
F38885#F24171,        149,         94,       261,            0,        1440,   36
F60353#F27483,         42,         27,        69,            0,          40,    1
F36386#F3771 ,        144,        113,       269,            0,        1480,   37
F35791#F35783,         30,         19,        51,            0,          40,    1
F29543#F44082,         75,         43,       119,            0,         320,    8
F56421#F23162,         29,         17,        47,            0,          40,    1
F48150#F16730,        108,         94,       205,            0,         720,   18
F32167#F48740,         45,         53,        99,            0,         120,    3
F47087#F25311,         63,         76,       143,            0,         200,    5
F17021#F29910,        115,         99,       216,            0,        1040,   26
F11017#F51717,        119,         88,       209,            0,        1080,   27
F21385#F11576,        139,         89,       239,            0,        1320,   33
F4854#F48290 ,         44,         58,       104,            0,         160,    4
F3496#F62535 ,         26,         18,        46,            0,          40,    1
F58390#F49861,         25,         20,        46,            0,          40,    1
F52209#F58202,         32,         36,        70,            0,          80,    2
F32175#F54382,         40,         25,        67,            0,          80,    2
F51949#F55988,         65,         35,       103,            0,         320,    8
F12617#F35280,         49,         32,        81,            0,          80,    2
F754#F40813  ,         74,         76,       151,            0,         520,   13
F61890#F11570,         27,         16,        46,            0,          40,    1
F46162#F45533,         98,         55,       155,            0,         480,   12
F61711#F53614,         33,         20,        54,            0,          40,    1
F20924#F4508 ,        555,        212,       786,            0,        7240,  181
F57126#F4272 ,         37,         21,        60,            0,          80,    2
F14692#F1529 ,        775,        351,      1129,            1,       12560,  314
F21381#F4772 ,        152,        114,       268,            0,        1320,   33
F39842#F60584,         41,         29,        71,            0,          40,    1
F54528#F39519,         54,         39,        94,            0,         200,    5
F17576#F21754,         48,         37,        87,            0,          80,    2
F60230#F62817,         29,         19,        49,            0,          40,    1
F34731#F43115,         88,         40,       129,            0,         280,    7
F48398#F962  ,         68,         34,       103,            0,         200,    5
F19158#F25032,        370,        175,       547,            0,        4760,  119
F28213#F39050,        132,         88,       232,            0,        1240,   31
F14611#F59055,         32,         19,        51,            0,          40,    1
F45828#F8419 ,         57,         32,        90,            0,         240,    6
F2758#F30923 ,         35,         21,        58,            0,          80,    2
F52551#F61696,         28,         18,        47,            0,          40,    1
F16044#F20392,        203,        123,       328,            0,        2400,   60
F53978#F38847,         44,         39,        84,            0,          80,    2
F40856#F34921,         78,         34,       113,            0,         240,    6
F10420#F27963,         91,         80,       173,            0,         520,   13
F6436#F4970  ,        172,        108,       282,            0,        1520,   38
F6585#F10415 ,        184,        118,       304,            0,        1920,   48
F49441#F6340 ,         89,         84,       181,            0,         640,   16
F53873#F32236,         29,         19,        49,            0,          40,    1
F21747#F31730,         64,         69,       152,            0,         360,    9
F4815#F15632 ,       1028,        409,      1441,            3,       16400,  410
F10317#F37978,         74,         47,       122,            0,         280,    7
F52380#F42236,         44,         40,        86,            0,         160,    4
F44397#F34211,        108,        100,       211,            0,         840,   21
F49383#F16405,        167,         72,       257,            0,        1680,   42
F25274#F42129,        112,        102,       216,            0,         800,   20
F35442#F17051,         29,         17,        48,            0,          40,    1
F11521#F11840,        181,        140,       323,            0,        2040,   51
F61173#F27526,         37,         26,        64,            0,          40,    1
F1598#F4877  ,        529,        244,       776,            1,        8160,  204
F62878#F31375,         28,         18,        48,            0,          40,    1
F28558#F62327,         26,         19,        46,            0,          40,    1
F47324#F25660,         26,         18,        45,            0,          40,    1
F57898#F34567,         35,         35,        71,            0,          80,    2
F4755#F11840 ,        185,        126,       313,            1,        2040,   51
F41800#F22473,        142,        126,       269,            1,        1400,   35
F33746#F23605,         84,        101,       186,            0,         560,   14
F50542#F24824,         44,         29,        75,            0,         160,    4
