keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F10277,        189,        134,       324,            0,         400, 10
F10800#F10079,        144,        128,       274,            0,         400, 10
F10800#F10098,        106,         86,       193,            0,         400, 10
F10800#F10045,        132,        112,       246,            0,         400, 10
F10800#F10183,        119,        108,       229,            0,         400, 10
F10800#F10290,        119,        111,       232,            0,         400, 10
F10800#F10353,        100,         78,       179,            0,         400, 10
F10800#F10608,         85,         68,       154,            0,         400, 10
F10800#F1024 ,         97,         67,       166,            0,         400, 10
F10800#F10175,         83,         76,       161,            0,         400, 10
F10800#F10039,         82,         70,       152,            0,         400, 10
F10800#F10281,         82,         68,       151,            0,         400, 10
F10800#F10808,         83,         71,       155,            0,         400, 10
F10800#F10042,         69,        106,       176,            0,         400, 10
F10800#F10488,         89,         69,       159,            0,         400, 10
F10800#F10239,         81,         87,       169,            0,         400, 10
F10800#F10552,         77,        136,       215,            0,         400, 10
F10800#F10822,         79,         97,       177,            0,         400, 10
F10800#F10186,         89,         86,       176,            0,         400, 10
F10800#F10263,         81,         72,       154,            0,         400, 10
F10800#F10685,         77,         82,       160,            0,         400, 10
F10800#F10097,         81,         89,       171,            0,         400, 10
F10800#F10041,         80,         84,       165,            0,         400, 10
F10800#F10231,        109,         68,       178,            0,         400, 10
F10800#F10383,        125,        130,       256,            0,         400, 10
F10800#F10392,         83,         68,       152,            0,         400, 10
F10800#F10106,         89,         66,       156,            0,         400, 10
F10800#F10019,         78,         98,       177,            0,         400, 10
F10800#F10082,         89,         73,       163,            0,         400, 10
F10800#F10592,         77,         68,       146,            0,         400, 10
F10800#F10011,         78,         63,       142,            0,         400, 10
F10800#F10048,         75,        100,       175,            0,         400, 10
F10800#F1033 ,         86,         78,       166,            0,         400, 10
F10800#F10040,         77,         66,       145,            0,         400, 10
F10800#F10631,         73,         92,       166,            1,         400, 10
F10800#F10065,         85,         70,       155,            0,         400, 10
F10800#F10233,         73,         77,       151,            0,         400, 10
F10800#F10250,         80,         71,       152,            0,         400, 10
F10800#F10639,         82,         76,       159,            0,         400, 10
F10800#F10622,         82,         66,       149,            0,         400, 10
F10800#F1106 ,         68,        125,       195,            0,         400, 10
F10800#F10260,         77,        102,       180,            0,         400, 10
F10800#F10157,         84,         72,       157,            0,         400, 10
F10800#F10984,         72,        129,       202,            0,         400, 10
F10800#F10110,         74,        133,       208,            0,         400, 10
F10800#F1049 ,         79,         68,       148,            0,         400, 10
F10800#F10062,         82,         66,       149,            0,         400, 10
F10800#F10090,         76,         91,       168,            0,         400, 10
F10800#F10197,         83,         71,       155,            0,         400, 10
F10800#F10180,         77,         89,       167,            0,         400, 10
F10800#F10194,         81,         84,       167,            0,         400, 10
F10800#F10116,         93,        108,       201,            0,         400, 10
F10800#F10423,        100,        121,       223,            0,         400, 10
