keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F24246#F35798,         55,         19,        77,            0,          40,    1
F26058#F38169,        269,        216,       487,            0,         600,   15
F457#F15241  ,       4845,       4006,      8854,            1,       10960,  274
F62532#F15114,         21,         15,        37,            0,          40,    1
F37132#F62283,         20,         15,        35,            0,          40,    1
F2958#F6934  ,       9196,       7671,     16869,            0,       21120,  528
F29629#F50883,        360,        307,       668,            0,         840,   21
F52605#F49058,        119,        201,       322,            0,         240,    6
F42050#F2458 ,        413,        195,       611,            0,         520,   13
F36254#F43672,        760,        666,      1429,            1,        1800,   45
F11896#F44969,        398,        339,       737,            1,         920,   23
F3909#F59272 ,         35,         31,        67,            0,          80,    2
F41795#F27576,        211,        174,       387,            0,         480,   12
F2999#F20262 ,       1504,       1263,      2770,            0,        3440,   86
F8525#F26798 ,        190,        164,       355,            0,         440,   11
F59733#F41500,         19,         14,        34,            0,          40,    1
F49195#F46528,         74,         60,       135,            0,         160,    4
F26843#F46242,        120,        105,       227,            0,         280,    7
F40583#F28826,        655,        557,      1213,            1,        1520,   38
F38843#F42223,        281,        225,       508,            0,         640,   16
F10183#F59310,         34,         29,        64,            0,          80,    2
F60824#F56307,         17,         13,        31,            0,          40,    1
F39720#F52890,        279,        230,       511,            0,         640,   16
F53391#F24437,        141,        114,       256,            0,         320,    8
F55048#F24688,        103,         86,       190,            0,         240,    6
F17480#F62906,         18,         14,        32,            0,          40,    1
F22593#F38594,        831,        689,      1521,            0,        1880,   47
F1642#F61189 ,         21,         15,        37,            0,          40,    1
F38885#F24171,        617,        531,      1149,            0,        1440,   36
F60353#F27483,         19,         14,        34,            0,          40,    1
F36386#F3771 ,        652,        531,      1183,            0,        1480,   37
F35791#F35783,         18,         15,        34,            0,          40,    1
F29543#F44082,        139,        116,       256,            0,         320,    8
F56421#F23162,         18,         15,        34,            0,          40,    1
F48150#F16730,        321,        265,       587,            0,         720,   18
F32167#F48740,         52,         41,        94,            0,         120,    3
F47087#F25311,         89,         71,       161,            0,         200,    5
F17021#F29910,        449,        379,       829,            0,        1040,   26
F11017#F51717,        488,        401,       891,            0,        1080,   27
F21385#F11576,        590,        502,      1093,            0,        1320,   33
F4854#F48290 ,         84,         54,       139,            0,         160,    4
F3496#F62535 ,         19,         14,        34,            0,          40,    1
F58390#F49861,         18,         14,        33,            0,          40,    1
F52209#F58202,         42,         27,        70,            0,          80,    2
F32175#F54382,         38,         28,        67,            0,          80,    2
F51949#F55988,        134,        107,       242,            0,         320,    8
F12617#F35280,         37,         27,        64,            0,          80,    2
F754#F40813  ,        229,        178,       409,            0,         520,   13
F61890#F11570,         21,         14,        36,            0,          40,    1
F46162#F45533,        193,        171,       365,            0,         480,   12
F61711#F53614,         21,         14,        35,            0,          40,    1
F20924#F4508 ,       3085,       2504,      5590,            0,        7240,  181
F57126#F4272 ,         39,         26,        67,            0,          80,    2
F14692#F1529 ,       5360,       4360,      9722,            0,       12560,  314
F21381#F4772 ,        570,        456,      1028,            0,        1320,   33
F39842#F60584,         19,         15,        35,            0,          40,    1
F54528#F39519,         84,         68,       153,            0,         200,    5
F17576#F21754,         38,         26,        65,            0,          80,    2
F60230#F62817,         19,         13,        33,            0,          40,    1
F34731#F43115,        113,        101,       215,            0,         280,    7
F48398#F962  ,         85,         72,       158,            0,         200,    5
F19158#F25032,       1997,       1661,      3659,            0,        4760,  119
F28213#F39050,        539,        429,       970,            0,        1240,   31
F14611#F59055,         19,         14,        34,            0,          40,    1
F45828#F8419 ,        109,         86,       196,            0,         240,    6
F2758#F30923 ,         38,         29,        67,            0,          80,    2
F52551#F61696,         19,         14,        34,            0,          40,    1
F16044#F20392,       1007,        828,      1836,            0,        2400,   60
F53978#F38847,         35,         28,        64,            0,          80,    2
F40856#F34921,        106,         86,       193,            0,         240,    6
F10420#F27963,        219,        185,       406,            0,         520,   13
F6436#F4970  ,        635,        533,      1170,            0,        1520,   38
F6585#F10415 ,        815,        668,      1484,            0,        1920,   48
F49441#F6340 ,        279,        224,       504,            0,         640,   16
F53873#F32236,         19,         14,        34,            0,          40,    1
F21747#F31730,        161,        120,       282,            0,         360,    9
F4815#F15632 ,       6800,       5679,     12482,            1,       16400,  410
F10317#F37978,        128,         98,       228,            0,         280,    7
F52380#F42236,         72,         56,       129,            0,         160,    4
F44397#F34211,        361,        294,       657,            0,         840,   21
F49383#F16405,        713,        587,      1302,            0,        1680,   42
F25274#F42129,        330,        275,       606,            0,         800,   20
F35442#F17051,         18,         14,        33,            0,          40,    1
F11521#F11840,        868,        705,      1574,            0,        2040,   51
F61173#F27526,         17,         14,        32,            0,          40,    1
