keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F10231,58,67,126,0,400,10,154
F10800#F10383,55,47,102,0,400,10,155
F10800#F10392,60,38,99,0,400,10,156
F10800#F10106,49,46,97,0,400,10,157
F10800#F10019,63,40,104,0,400,10,158
F10800#F10082,52,85,139,0,400,10,159
F10800#F10592,54,40,95,0,400,10,160
F10800#F10011,68,69,138,0,400,10,161
F10800#F10048,51,87,139,0,400,10,162
F10800#F1033,61,73,135,0,400,10,163
F10800#F10040,55,71,127,0,400,10,164
F10800#F10631,66,72,139,0,400,10,165
F10800#F10065,60,72,133,0,400,10,166
F10800#F10233,55,74,131,0,400,10,167
F10800#F10250,64,47,113,0,400,10,168
F10800#F10639,51,88,140,0,400,10,169
F10800#F10622,91,46,138,0,400,10,170
F10800#F1106,62,77,140,0,400,10,171
F10800#F10260,71,73,145,0,400,10,172
F10800#F10157,63,80,144,0,400,10,173
F10800#F10984,58,71,130,0,400,10,174
F10800#F10110,60,68,130,0,400,10,175
F10800#F1049,50,68,120,0,400,10,176
F10800#F10062,57,41,99,0,400,10,177
F10800#F10090,61,83,145,0,400,10,178
F10800#F10197,61,77,140,0,400,10,179
F10800#F10180,55,72,128,0,400,10,180
F10800#F10194,63,58,122,0,400,10,181
F10800#F10116,58,63,122,0,400,10,182
F10800#F10423,53,62,117,0,400,10,183
F10800#F10584,58,48,107,0,400,10,184
F10800#F10435,53,74,129,0,400,10,185
F10800#F10017,89,34,124,0,400,10,186
F10800#F10027,57,78,137,0,400,10,187
F10800#F10095,49,73,124,0,400,10,188
F10800#F10049,57,42,100,0,400,10,189
F10800#F10181,57,67,126,0,400,10,190
F10800#F10324,54,87,142,0,400,10,191
F10800#F10764,55,70,126,0,400,10,192
F10800#F11431,51,72,124,0,400,10,193
F10800#F10360,59,79,139,0,400,10,194
F10800#F10688,60,54,115,0,400,10,195
F10800#F10067,53,68,122,0,400,10,196
F10800#F10252,57,85,143,0,400,10,197
F10800#F10227,62,79,142,0,400,10,198
F10800#F1009,54,83,138,0,400,10,199
F10800#F10109,54,84,138,0,400,10,200
F10800#F10074,59,67,128,0,400,10,201
F10800#F10084,64,56,122,0,400,10,202
F10800#F10318,55,76,132,0,400,10,203
F10800#F10119,57,75,133,0,400,10,204
F10800#F10185,58,82,142,1,400,10,205
F10800#F11093,53,82,136,0,400,10,206
F10800#F10288,55,65,122,0,400,10,207
F10800#F10412,54,69,124,0,400,10,208
F10800#F10929,52,74,126,0,400,10,209
F10800#F10871,95,48,145,0,400,10,210
F10800#F10243,58,44,103,0,400,10,211
F10800#F10008,54,81,136,0,400,10,212
F10800#F1017,52,77,131,0,400,10,213
F10800#F10245,53,78,132,0,400,10,214
F10800#F10913,52,40,94,0,400,10,215
F10800#F10070,47,48,96,0,400,10,216
F10800#F10522,57,110,169,0,400,10,217
F10800#F10587,66,69,137,0,400,10,218
F10800#F11237,60,83,144,0,400,10,219
F10800#F11664,70,91,163,0,400,10,220
F10800#F10001,58,71,131,0,400,10,221
F10800#F10125,52,70,122,0,400,10,222
F10800#F11102,51,78,131,0,400,10,223
F10800#F10425,53,74,129,0,400,10,224
F10800#F10718,60,80,141,0,400,10,225
F10800#F10689,67,43,111,0,400,10,226
F10800#F10167,53,68,123,0,400,10,227
F10800#F1015,53,73,127,0,400,10,228
F10800#F10215,56,67,124,0,400,10,229
F10800#F10518,59,72,132,0,400,10,230
F10800#F10050,51,86,138,0,400,10,231
F10800#F10665,56,77,135,0,400,10,232
F10800#F10477,57,77,135,0,400,10,233
F10800#F10173,70,45,116,0,400,10,234
F10800#F10007,55,81,137,0,400,10,235
F10800#F11813,56,68,125,0,400,10,236
F10800#F10229,98,69,168,0,400,10,237
F10800#F10209,52,81,134,1,400,10,238
F10800#F11048,60,46,108,0,400,10,239
F10800#F10446,52,80,132,0,400,10,240
F10800#F10026,64,60,125,0,400,10,241
F10800#F10322,48,72,120,0,400,10,242
F10800#F10232,54,74,129,0,400,10,243
F10800#F10000,51,74,126,0,400,10,244
F10800#F10123,52,66,119,0,400,10,245
F10800#F10208,55,73,128,0,400,10,246
F10800#F10009,58,88,147,0,400,10,247
F10800#F11541,55,69,125,0,400,10,248
F10800#F11400,63,77,142,0,400,10,249
F10800#F10172,55,39,95,1,400,10,250
F10800#F10101,91,73,165,1,400,10,251
F10800#F11925,59,79,139,0,400,10,252
F10800#F10799,53,68,122,0,400,10,253
F10800#F1082,91,43,135,0,400,10,254
F10800#F1077,54,72,128,0,400,10,255
