keyword,volume,addTime,storageUpdateBytes
F0,75,14.652462ms,13192
F1,70,12.230749ms,12316
F2,57,10.40516ms,10020
F3,41,7.434622ms,7208
F4,99,17.360035ms,17404
F5,103,17.888533ms,18112
F6,48,8.428364ms,8440
F7,77,13.409648ms,13528
F8,44,7.566008ms,7736
F9,69,11.947428ms,12144
F10,68,11.80739ms,11944
F11,88,15.109473ms,15472
F12,50,8.709765ms,8792
F13,84,14.300185ms,14772
F14,97,16.65331ms,17044
F15,62,10.825677ms,10880
F16,1,163.348µs,176
F17,1,168.949µs,176
F18,17,2.803356ms,2988
F19,82,14.245331ms,14412
F20,107,18.504516ms,18800
F21,90,15.958369ms,15816
F22,51,9.229273ms,8952
F23,34,6.20145ms,5984
F24,36,6.190891ms,6332
F25,49,8.791961ms,8608
F26,79,13.795941ms,13876
F27,24,4.30179ms,4212
F28,132,22.712605ms,23200
F29,1,164.103µs,176
F30,56,9.865325ms,9852
F31,35,6.210961ms,6156
F32,57,9.831997ms,10024
F33,87,14.882595ms,15292
F34,83,14.405852ms,14588
F35,123,21.229797ms,21628
F36,99,16.945686ms,17400
F37,2,351.619µs,352
F38,62,10.895009ms,10892
F39,31,5.231424ms,5444
F40,87,15.011471ms,15296
F41,120,20.807842ms,21096
F42,91,15.619367ms,15992
F43,92,15.950159ms,16172
F44,108,18.677361ms,18980
F45,101,17.417698ms,17744
F46,160,27.852136ms,28104
F47,97,16.686418ms,17044
F48,10,1.812636ms,1756
F49,112,19.458072ms,19684
F50,26,4.324066ms,4568
F51,57,9.704572ms,10020
F52,71,12.247019ms,12496
F53,41,6.995831ms,7212
F54,78,13.338491ms,13716
F55,61,10.967269ms,10728
F56,32,5.648022ms,5632
F57,25,4.301703ms,4396
F58,87,14.936635ms,15288
F59,63,10.813245ms,11072
F60,57,10.945275ms,10008
F61,84,15.966926ms,14780
F62,80,14.581974ms,14060
F63,67,11.499412ms,11764
F64,53,9.945973ms,9324
F65,105,18.022626ms,18472
F66,42,8.024479ms,7368
F67,54,8.991748ms,9488
F68,77,13.774413ms,13516
F69,80,13.617707ms,14064
F70,63,11.559178ms,11072
F71,47,7.97379ms,8260
F72,128,22.746788ms,22508
F73,95,16.435895ms,16684
F74,32,6.318126ms,5624
F75,113,19.871128ms,19856
F76,55,10.19134ms,9672
F77,50,8.472202ms,8784
F78,176,33.807919ms,30932
F79,115,19.633895ms,20208
F80,125,21.689588ms,21980
F81,36,6.354784ms,6320
F82,122,21.261543ms,21444
F83,3,531.35µs,528
F84,96,16.197496ms,16876
F85,117,20.55358ms,20556
F86,30,5.17501ms,5272
F87,50,9.068695ms,8784
F88,51,8.714747ms,8960
F89,85,15.202203ms,14956
F90,71,12.210119ms,12492
F91,114,20.250354ms,20032
F92,42,6.996292ms,7380
F93,99,17.396468ms,17416
F94,42,7.134089ms,7384
F95,52,9.362084ms,9148
F96,52,8.789071ms,9144
F97,40,6.689379ms,7036
F98,72,12.89058ms,12652
F99,97,16.483278ms,17060
F100,91,15.805637ms,15996
F101,70,12.501852ms,12300
F102,39,6.717295ms,6852
F103,166,29.645429ms,29160
F104,36,6.189386ms,6324
F105,82,14.077059ms,14408
F106,74,13.214948ms,13008
F107,34,6.10068ms,5980
F108,42,7.03733ms,7380
F109,45,7.912964ms,7904
F110,20,3.717849ms,3520
F111,100,19.326744ms,17572
F112,46,8.958557ms,8080
F113,2,372.728µs,352
F114,59,11.317967ms,10376
F115,94,18.105251ms,16508
F116,78,13.337981ms,13708
F117,47,8.890885ms,8268
F118,88,15.236879ms,15476
F119,50,8.840457ms,8780
F120,10,1.762412ms,1760
F121,89,15.344085ms,15628
F122,25,5.002941ms,4400
F123,69,12.07586ms,12136
F124,102,18.150698ms,17944
F125,103,17.472397ms,18112
F126,84,14.936755ms,14764
F127,50,8.490379ms,8784
F128,97,17.270587ms,17048
F129,50,8.428018ms,8788
F130,44,8.16623ms,7732
F131,84,14.08143ms,14764
F132,64,11.659112ms,11244
F133,175,32.174506ms,30756
F134,70,12.426012ms,12300
F135,45,8.045057ms,7912
F136,17,2.909886ms,2992
F137,61,11.154659ms,10732
F138,65,12.425986ms,11420
F139,56,10.930827ms,9852
F140,81,13.930924ms,14240
F141,89,15.889754ms,15660
F142,59,9.98091ms,10380
F143,25,4.62719ms,4384
F144,46,8.560059ms,8084
F145,89,15.164149ms,15644
F146,101,17.612458ms,17764
F147,57,9.807594ms,10008
F148,29,5.370586ms,5100
F149,79,13.662066ms,13884
F150,37,6.291419ms,6492
F151,59,10.925638ms,10380
F152,47,8.927545ms,8264
F153,96,17.99406ms,16876
F154,42,7.235753ms,7384
F155,69,12.823832ms,12124
F156,98,16.86576ms,17228
F157,55,10.154132ms,9668
F158,57,9.639876ms,10020
F159,110,19.836256ms,19332
F160,79,13.633268ms,13888
F161,13,2.959104ms,2288
F162,61,10.251651ms,10716
F163,80,14.252066ms,14068
F164,55,9.47609ms,9660
F165,73,12.414197ms,12832
F166,59,10.970742ms,10368
F167,69,12.889353ms,12116
F168,31,6.382141ms,5452
F169,69,11.447871ms,12136
F170,103,18.288697ms,18104
F171,88,15.06127ms,15468
F172,100,17.582443ms,17580
F173,55,9.091931ms,9672
F174,39,7.508538ms,6856
F175,42,37.004675ms,7384
F176,70,26.682988ms,12296
F177,122,23.994859ms,21432
F178,100,19.75152ms,17580
F179,108,20.500729ms,18984
F180,16,3.063177ms,2816
F181,51,9.410284ms,8972
F182,41,7.421735ms,7208
F183,52,9.610723ms,9132
F184,51,9.427114ms,8964
F185,61,11.137776ms,10720
F186,59,10.796969ms,10376
F187,120,22.021845ms,21092
F188,41,7.560454ms,7200
F189,52,9.364538ms,9144
F190,69,12.668083ms,12132
F191,64,11.765303ms,11256
F192,56,10.065755ms,9848
F193,110,19.900503ms,19336
F194,74,13.472399ms,13016
F195,77,14.05256ms,13528
F196,97,17.727758ms,17052
F197,89,16.205567ms,15644
F198,80,14.488035ms,14060
F199,14,2.436904ms,2464
F200,71,12.889237ms,12496
F201,47,8.411756ms,8240
F202,62,11.28213ms,10892
F203,55,9.561922ms,9672
F204,76,13.39048ms,13360
F205,82,14.477456ms,14412
F206,62,11.075483ms,10900
F207,69,12.345967ms,12128
F208,29,4.885269ms,5104
F209,38,6.489658ms,6676
F210,54,9.50111ms,9496
F211,53,9.13366ms,9320
F212,61,10.39958ms,10716
F213,59,10.31133ms,10376
F214,51,8.568576ms,8964
F215,1,178.573µs,176
F216,69,11.906991ms,12128
F217,102,17.612857ms,17920
F218,79,13.886334ms,13892
F219,125,21.665842ms,21960
F220,115,19.645313ms,20200
F221,52,8.885966ms,9144
F222,94,16.399351ms,16524
F223,50,8.827752ms,8788
F224,115,19.735703ms,20200
F225,134,23.225166ms,23564
F226,49,8.336293ms,8612
F227,77,13.227783ms,13536
F228,98,16.764683ms,17236
F229,96,16.742174ms,16876
F230,72,12.512629ms,12656
F231,38,6.693355ms,6680
F232,72,12.878919ms,12652
F233,80,13.807479ms,14056
F234,55,9.8412ms,9672
F235,95,16.613216ms,16688
F236,105,18.190889ms,18452
F237,111,19.455093ms,19516
F238,15,2.479892ms,2632
F239,98,17.016329ms,17216
F240,122,21.225453ms,21452
F241,19,3.117542ms,3344
F242,64,11.09954ms,11252
F243,95,16.246951ms,16688
F244,100,17.223565ms,17564
F245,35,5.841449ms,6144
F246,110,18.785222ms,19332
F247,74,12.79305ms,13004
F248,14,2.487341ms,2448
F249,129,22.279939ms,22672
F250,78,13.416099ms,13708
F251,76,12.727718ms,13364
F252,81,13.985572ms,14232
F253,97,16.818519ms,17040
F254,61,10.366891ms,10732
F255,67,11.76547ms,11788
F256,107,18.24465ms,18804
F257,78,13.436715ms,13716
F258,63,10.504012ms,11076
F259,84,14.699798ms,14776
F260,125,21.603062ms,21980
F261,86,14.964883ms,15108
