keyword,volume,addTime,storageUpdateBytes
F0,75,30.081205ms,13188
F1,70,12.672049ms,12308
F2,57,10.387589ms,10020
F3,41,7.035602ms,7204
F4,99,17.378407ms,17396
F5,103,18.331056ms,18116
F6,48,8.246473ms,8432
F7,77,14.973746ms,13532
F8,44,7.513169ms,7736
F9,69,12.27362ms,12128
F10,68,12.851781ms,11952
F11,88,15.980731ms,15472
F12,50,8.568062ms,8784
F13,84,15.433186ms,14768
F14,97,17.833031ms,17056
F15,62,11.608939ms,10880
F16,1,171.238µs,176
F17,1,176.454µs,176
F18,17,3.190479ms,2992
F19,82,14.52599ms,14416
F20,107,18.936142ms,18800
F21,90,16.115124ms,15824
F22,51,8.833281ms,8952
F23,34,6.269635ms,5980
F24,36,6.807768ms,6332
F25,49,8.827803ms,8612
F26,79,14.532209ms,13884
F27,24,4.239267ms,4216
F28,132,24.342511ms,23212
F29,1,198.083µs,176
F30,56,10.06018ms,9848
F31,35,6.133197ms,6152
F32,57,10.532739ms,10016
F33,87,15.464969ms,15296
F34,83,16.210137ms,14588
F35,123,24.335983ms,21624
F36,99,17.763347ms,17404
F37,2,401.739µs,352
F38,62,12.110669ms,10904
F39,31,5.767838ms,5448
F40,87,16.199973ms,15284
F41,120,21.950408ms,21104
F42,91,18.096111ms,16004
F43,92,16.453152ms,16156
F44,108,19.374295ms,18992
F45,101,18.083314ms,17744
F46,160,31.790633ms,28104
F47,97,17.315332ms,17032
F48,10,1.882173ms,1756
F49,112,19.807434ms,19680
F50,26,5.550455ms,4572
F51,57,10.089065ms,10024
F52,71,12.797882ms,12492
F53,41,8.092341ms,7200
F54,78,13.834181ms,13712
F55,61,11.36904ms,10732
F56,32,5.781458ms,5628
F57,25,4.516326ms,4400
F58,87,16.259345ms,15284
F59,63,11.16556ms,11080
F60,57,10.498126ms,10020
F61,84,14.919886ms,14772
F62,80,14.60827ms,14056
F63,67,11.718916ms,11772
F64,53,10.033968ms,9324
F65,105,18.543137ms,18452
F66,42,7.949702ms,7380
F67,54,9.529172ms,9488
F68,77,14.094341ms,13532
F69,80,14.209085ms,14068
F70,63,11.149082ms,11080
F71,47,9.445249ms,8256
F72,128,24.942325ms,22492
F73,95,17.519506ms,16696
F74,32,5.420336ms,5620
F75,113,20.301413ms,19868
F76,55,9.886731ms,9668
F77,50,8.624848ms,8784
F78,176,32.338456ms,30928
F79,115,21.369313ms,20224
F80,125,21.94753ms,21968
F81,36,7.112818ms,6324
F82,122,23.28618ms,21440
F83,3,514.372µs,528
F84,96,16.992779ms,16872
F85,117,23.303298ms,20548
F86,30,6.270112ms,5276
F87,50,9.117808ms,8784
F88,51,35.281298ms,8968
F89,85,30.369389ms,14956
F90,71,14.124358ms,12484
F91,114,22.345547ms,20028
F92,42,8.18461ms,7380
F93,99,18.739355ms,17416
F94,42,7.630937ms,7380
F95,52,9.645362ms,9148
F96,52,9.690823ms,9140
F97,40,7.300452ms,7036
F98,72,13.220946ms,12664
F99,97,17.744942ms,17060
F100,91,16.5955ms,16000
F101,70,12.920236ms,12296
F102,39,6.954529ms,6856
F103,166,30.257995ms,29168
F104,36,6.589109ms,6332
F105,82,14.836033ms,14416
F106,74,13.270447ms,13008
F107,34,6.30018ms,5984
F108,42,7.440581ms,7372
F109,45,8.270745ms,7904
F110,20,3.627363ms,3520
F111,100,18.137123ms,17580
F112,46,8.447766ms,8084
F113,2,353.442µs,352
F114,59,10.821723ms,10364
F115,94,17.104366ms,16492
F116,78,14.093681ms,13712
F117,47,8.403296ms,8264
F118,88,15.722677ms,15480
F119,50,9.067024ms,8780
F120,10,1.750553ms,1760
F121,89,16.122223ms,15628
F122,25,4.449212ms,4400
F123,69,12.553057ms,12132
F124,102,18.322927ms,17940
F125,103,18.717418ms,18116
F126,84,15.19828ms,14764
F127,50,9.112632ms,8784
F128,97,17.435315ms,17044
F129,50,9.033662ms,8784
F130,44,8.096157ms,7728
F131,84,15.206616ms,14760
F132,64,11.545469ms,11244
F133,175,31.864601ms,30756
F134,70,12.58214ms,12300
F135,45,7.975182ms,7908
F136,17,2.983341ms,2992
F137,61,10.774266ms,10724
F138,65,11.278742ms,11424
F139,56,9.81655ms,9840
F140,81,13.868548ms,14244
F141,89,15.24237ms,15660
F142,59,10.217299ms,10368
F143,25,4.287817ms,4384
F144,46,7.824419ms,8088
F145,89,15.467197ms,15628
F146,101,17.947379ms,17760
F147,57,10.301534ms,10016
F148,29,5.299647ms,5096
F149,79,14.04486ms,13880
F150,37,6.628027ms,6500
F151,59,10.179078ms,10372
F152,47,8.561218ms,8264
F153,96,16.742419ms,16884
F154,42,7.417598ms,7384
F155,69,12.324009ms,12124
F156,98,17.732959ms,17228
F157,55,10.020995ms,9668
F158,57,10.14166ms,10012
F159,110,19.213747ms,19340
F160,79,13.740236ms,13888
F161,13,2.177532ms,2284
F162,61,10.222114ms,10728
F163,80,13.808523ms,14060
F164,55,9.772869ms,9668
F165,73,12.784177ms,12824
F166,59,10.022794ms,10368
F167,69,12.073301ms,12128
F168,31,5.804982ms,5452
F169,69,12.175836ms,12144
F170,103,17.515964ms,18096
F171,88,15.139286ms,15472
F172,100,17.195786ms,17576
F173,55,9.461604ms,9656
F174,39,6.617117ms,6852
F175,42,7.295873ms,7384
F176,70,12.422057ms,12300
F177,122,20.773813ms,21424
F178,100,17.19655ms,17576
F179,108,19.272174ms,18984
F180,16,2.956985ms,2816
F181,51,8.681124ms,8976
F182,41,7.254452ms,7212
F183,52,9.198703ms,9140
F184,51,8.883585ms,8964
F185,61,10.315855ms,10716
F186,59,10.573726ms,10372
F187,120,21.393804ms,21096
F188,41,7.501481ms,7200
F189,52,9.169253ms,9140
F190,69,12.441814ms,12128
F191,64,11.297195ms,11252
F192,56,10.105678ms,9848
F193,110,19.384722ms,19332
F194,74,13.213038ms,13016
F195,77,13.829349ms,13520
F196,97,17.402913ms,17048
F197,89,15.990993ms,15640
F198,80,14.07345ms,14052
F199,14,2.716021ms,2460
