keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F285#F9078,216,115,0,335,0,360,10,11
F285#F931,124,84,0,209,0,360,10,12
F285#F9327,109,98,0,208,0,360,10,13
F285#F9803,112,117,0,231,0,360,10,14
F285#F8361,106,56,0,164,0,360,10,15
F285#F6479,111,65,0,178,0,360,10,16
F285#F9786,95,43,0,139,0,360,10,17
F285#F1812,61,36,0,98,0,360,10,18
F285#F1453,51,86,0,137,0,360,10,19
F285#F5044,55,88,0,144,0,360,10,20
F285#F7699,51,36,0,89,0,360,10,21
F285#F4127,52,40,0,94,0,360,10,22
F285#F4989,64,35,0,100,0,360,10,23
F285#F2777,57,36,0,94,0,360,10,24
F285#F35,50,83,0,134,0,360,10,25
F285#F5631,49,33,0,83,0,360,10,26
F285#F6021,51,32,0,84,0,360,10,27
F285#F5385,45,30,0,77,0,360,10,28
F285#F215,53,44,0,98,0,360,10,29
F285#F5570,65,41,0,107,0,360,10,30
F285#F6094,62,37,0,101,0,360,10,31
F285#F3769,49,44,0,94,0,360,10,32
F285#F5287,81,43,0,126,0,360,10,33
F285#F5424,61,41,0,103,0,360,10,34
F285#F3964,53,45,0,100,0,360,10,35
F285#F1813,60,42,0,104,0,360,10,36
F285#F7267,55,38,0,94,0,360,10,37
F285#F5517,68,40,0,109,0,360,10,38
F285#F9774,48,34,0,83,0,360,10,39
F285#F8700,42,33,0,77,0,360,10,40
F285#F3987,42,29,0,72,0,360,10,41
F285#F9914,45,30,0,76,0,360,10,42
F285#F9286,46,33,0,80,0,360,10,43
F285#F5382,43,32,0,75,0,360,10,44
F285#F6186,45,31,0,77,0,360,10,45
F285#F5597,43,29,0,73,0,360,10,46
F285#F3875,41,28,0,71,0,360,10,47
F285#F5577,43,35,0,80,0,360,10,48
F285#F3105,48,31,0,80,0,360,10,49
F285#F6035,49,30,0,80,0,360,10,50
F285#F2790,45,30,0,76,0,360,10,51
F285#F5436,46,28,0,75,0,360,10,52
F285#F3901,45,30,0,76,0,360,10,53
F285#F2506,46,32,0,79,0,360,10,54
F285#F3919,45,33,0,79,0,360,10,55
F285#F8132,44,29,0,74,0,360,10,56
F285#F9882,42,31,0,74,0,360,10,57
F285#F748,49,28,0,78,0,360,10,58
F285#F7607,48,30,0,79,0,360,10,59
F285#F1268,40,29,0,70,0,360,10,60
F285#F1717,51,34,0,87,0,360,10,61
F285#F6082,42,33,0,76,0,360,10,62
F285#F2782,39,73,0,113,0,360,10,63
F285#F780,40,30,0,72,0,360,10,64
