keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F285#F9078,226,117,0,347,0,480,10,11
F285#F931,108,117,0,227,0,480,10,12
F285#F9327,94,57,0,152,0,480,10,13
F285#F9803,88,77,0,167,0,480,10,14
F285#F8361,65,88,0,155,0,480,10,15
F285#F6479,57,43,0,101,0,480,10,16
F285#F9786,53,43,0,98,0,480,10,17
F285#F1812,70,35,0,107,0,480,10,18
F285#F1453,49,87,0,138,0,480,10,19
F285#F5044,75,37,0,114,0,480,10,20
F285#F7699,65,37,0,103,0,480,10,21
F285#F4127,108,87,0,197,0,480,10,22
F285#F4989,42,33,0,77,0,480,10,23
F285#F2777,44,37,0,82,0,480,10,24
F285#F35,52,34,0,87,0,480,10,25
F285#F5631,44,34,0,79,0,480,10,26
F285#F6021,46,33,0,81,0,480,10,27
F285#F5385,45,34,0,80,0,480,10,28
F285#F215,52,33,0,86,0,480,10,29
F285#F5570,45,86,0,132,0,480,10,30
F285#F6094,86,33,0,120,0,480,10,31
F285#F3769,45,74,0,120,0,480,10,32
F285#F5287,55,87,0,144,0,480,10,33
F285#F5424,95,85,0,182,0,480,10,34
F285#F3964,74,42,0,117,0,480,10,35
F285#F1813,63,95,0,158,0,480,10,36
F285#F7267,58,104,0,163,0,480,10,37
F285#F5517,59,61,0,122,0,480,10,38
F285#F9774,57,45,0,103,0,480,10,39
F285#F8700,126,113,0,240,0,480,10,40
F285#F3987,54,34,0,90,0,480,10,41
F285#F9914,46,77,0,125,0,480,10,42
F285#F9286,52,86,0,139,0,480,10,43
F285#F5382,52,37,0,90,0,480,10,44
F285#F6186,69,36,0,106,0,480,10,45
F285#F5597,53,36,0,90,0,480,10,46
F285#F3875,44,40,0,85,0,480,10,47
F285#F5577,44,83,0,128,0,480,10,48
F285#F3105,51,85,0,136,0,480,10,49
F285#F6035,44,34,0,79,0,480,10,50
F285#F2790,42,36,0,80,0,480,10,51
F285#F5436,57,34,0,92,0,480,10,52
F285#F3901,51,34,0,86,0,480,10,53
F285#F2506,45,36,0,82,0,480,10,54
F285#F3919,45,37,0,83,0,480,10,55
F285#F8132,52,35,0,88,0,480,10,56
F285#F9882,50,33,0,84,0,480,10,57
F285#F748,43,84,0,128,0,480,10,58
F285#F7607,48,81,0,130,0,480,10,59
F285#F1268,57,39,0,97,0,480,10,60
F285#F1717,54,35,0,90,0,480,10,61
F285#F6082,51,44,0,96,0,480,10,62
F285#F2782,45,42,0,88,0,480,10,63
F285#F780,52,43,0,95,0,480,10,64
F285#F3905,44,84,0,129,0,480,10,65
F285#F1880,44,79,0,125,0,480,10,66
F285#F7721,50,37,0,89,0,480,10,67
F285#F6747,50,38,0,89,0,480,10,68
F285#F1761,51,32,0,84,0,480,10,69
F285#F3795,48,37,0,87,0,480,10,70
F285#F3911,63,33,0,97,0,480,10,71
F285#F1165,50,39,0,89,0,480,10,72
F285#F460,49,76,0,126,0,480,10,73
F285#F1760,43,38,0,82,0,480,10,74
F285#F2687,86,35,0,123,0,480,10,75
F285#F3566,49,82,0,132,0,480,10,76
F285#F8692,47,40,0,89,0,480,10,77
F285#F2393,50,35,0,86,0,480,10,78
F285#F1877,53,35,0,89,0,480,10,79
F285#F6179,44,80,0,125,0,480,10,80
F285#F3893,43,92,0,136,0,480,10,81
F285#F6377,50,35,0,86,0,480,10,82
F285#F4550,46,31,0,77,0,480,10,83
F285#F3853,45,31,0,77,0,480,10,84
F285#F7737,51,80,0,132,0,480,10,85
F285#F4864,44,80,0,125,0,480,10,86
F285#F6884,90,38,0,129,0,480,10,87
F285#F9242,46,35,0,82,0,480,10,88
F285#F3988,49,39,0,89,0,480,10,89
F285#F1554,95,40,0,136,0,480,10,90
F285#F3147,59,55,0,116,0,480,10,91
F285#F5025,56,98,0,156,0,480,10,92
F285#F8445,53,93,0,147,0,480,10,93
F285#F5058,55,44,0,101,0,480,10,94
F285#F3282,54,34,0,90,0,480,10,95
F285#F3207,54,40,0,95,0,480,10,96
F285#F1222,56,35,0,92,0,480,10,97
F285#F7001,50,80,0,131,0,480,10,98
F285#F5141,52,33,0,86,0,480,10,99
F285#F2367,47,89,0,137,0,480,10,100
F285#F1417,60,80,0,141,0,480,10,101
F285#F1143,58,32,0,91,0,480,10,102
F285#F2472,44,32,0,77,0,480,10,103
F285#F2721,63,82,0,146,0,480,10,104
F285#F7660,47,35,0,84,0,480,10,105
F285#F5807,50,85,0,136,0,480,10,106
F285#F1181,51,74,0,126,0,480,10,107
F285#F4828,48,81,0,130,0,480,10,108
F285#F4793,51,82,0,134,0,480,10,109
F285#F1558,65,36,0,102,0,480,10,110
F285#F9771,48,85,0,134,0,480,10,111
F285#F463,53,84,0,138,0,480,10,112
F285#F8942,58,35,0,94,0,480,10,113
F285#F3448,53,34,0,89,0,480,10,114
F285#F2465,50,39,0,91,0,480,10,115
F285#F3403,54,31,0,86,0,480,10,116
F285#F6049,53,33,0,88,0,480,10,117
F285#F7354,48,35,0,84,0,480,10,118
F285#F1129,46,33,0,80,0,480,10,119
F285#F1177,52,94,0,147,0,480,10,120
F285#F2339,49,35,0,85,0,480,10,121
F285#F1373,89,86,0,176,0,480,10,122
F285#F1618,61,41,0,104,0,480,10,123
F285#F2329,52,80,0,133,0,480,10,124
F285#F1089,60,37,0,98,0,480,10,125
F285#F1749,52,75,0,128,0,480,10,126
F285#F638,53,37,0,91,0,480,10,127
F285#F1582,48,38,0,87,0,480,10,128
F285#F2212,58,41,0,100,0,480,10,129
F285#F529,55,43,0,99,0,480,10,130
F285#F3949,57,43,0,100,0,480,10,131
F285#F4626,52,36,0,89,0,480,10,132
F285#F2543,93,83,0,177,0,480,10,133
F285#F2348,51,34,0,86,0,480,10,134
F285#F3970,51,41,0,93,0,480,10,135
F285#F2384,54,36,0,91,0,480,10,136
F285#F9796,60,43,0,104,0,480,10,137
F285#F4372,59,33,0,93,0,480,10,138
F285#F1191,57,40,0,98,0,480,10,139
F285#F3323,59,35,0,95,0,480,10,140
F285#F2005,51,86,0,138,0,480,10,141
F285#F1626,51,41,0,93,0,480,10,142
F285#F2459,47,73,0,121,0,480,10,143
F285#F1599,50,33,0,85,0,480,10,144
F285#F1182,53,90,0,145,0,480,10,145
F285#F1231,53,83,0,137,0,480,10,146
F285#F2274,53,42,0,96,0,480,10,147
F285#F5701,53,36,0,91,0,480,10,148
F285#F2908,51,81,0,134,0,480,10,149
F285#F1673,51,44,0,96,0,480,10,150
F285#F9342,56,41,0,98,0,480,10,151
F285#F512,51,86,0,137,0,480,10,152
F285#F5535,59,94,0,154,0,480,10,153
F285#F5691,52,82,0,134,0,480,10,154
F285#F3924,52,40,0,93,0,480,10,155
F285#F5831,50,37,0,89,0,480,10,156
F285#F1198,56,36,0,93,0,480,10,157
F285#F9536,52,39,0,93,0,480,10,158
F285#F3336,51,40,0,93,0,480,10,159
F285#F1946,50,43,0,94,0,480,10,160
F285#F1411,49,34,0,84,0,480,10,161
F285#F7497,95,47,0,142,0,480,10,162
F285#F5987,60,37,0,97,0,480,10,163
F285#F1147,49,86,0,136,0,480,10,164
F285#F7704,51,39,0,90,0,480,10,165
F285#F9280,52,40,0,92,0,480,10,166
F285#F1756,51,41,0,94,0,480,10,167
F285#F4411,94,36,0,131,0,480,10,168
F285#F6029,54,36,0,91,0,480,10,169
F285#F7824,52,39,0,92,0,480,10,170
F285#F63,51,34,0,85,0,480,10,171
F285#F2733,49,38,0,89,0,480,10,172
F285#F2378,45,37,0,83,0,480,10,173
F285#F428,53,33,0,87,0,480,10,174
F285#F6660,46,38,0,85,0,480,10,175
F285#F7439,49,72,0,123,0,480,10,176
F285#F8715,51,40,0,93,0,480,10,177
F285#F3714,51,86,0,138,0,480,10,178
F285#F2833,53,84,0,138,0,480,10,179
F285#F5747,57,38,0,96,0,480,10,180
F285#F2914,52,89,0,142,0,480,10,181
F285#F4159,108,87,0,196,0,480,10,182
F285#F7590,56,36,0,94,0,480,10,183
F285#F2879,70,35,0,106,0,480,10,184
F285#F1183,56,37,0,94,0,480,10,185
F285#F478,61,35,0,98,0,480,10,186
F285#F2366,51,33,0,86,0,480,10,187
F285#F8562,52,83,0,136,0,480,10,188
F285#F7117,62,41,0,104,0,480,10,189
F285#F1777,51,39,0,92,0,480,10,190
F285#F5766,50,42,0,93,0,480,10,191
F285#F1346,52,74,0,128,0,480,10,192
F285#F2021,53,35,0,88,0,480,10,193
F285#F3589,50,34,0,85,0,480,10,194
F285#F7184,51,37,0,89,0,480,10,195
F285#F8748,54,49,0,105,0,480,10,196
F285#F1899,52,37,0,90,0,480,10,197
F285#F5214,50,83,0,134,0,480,10,198
F285#F5742,57,74,0,132,0,480,10,199
F285#F7202,48,32,0,81,0,480,10,200
F285#F8073,50,35,0,86,0,480,10,201
F285#F3916,50,33,0,85,0,480,10,202
F285#F3668,88,38,0,127,0,480,10,203
F285#F1062,87,43,0,131,0,480,10,204
F285#F2756,50,83,0,134,0,480,10,205
F285#F8641,53,40,0,94,0,480,10,206
F285#F2444,52,83,0,136,0,480,10,207
F285#F4597,55,89,0,145,0,480,10,208
F285#F6679,48,37,0,87,0,480,10,209
F285#F4759,53,38,0,92,0,480,10,210
F285#F484,87,44,0,131,0,480,10,211
F285#F8675,50,34,0,86,0,480,10,212
F285#F9248,63,84,0,148,0,480,10,213
F285#F1253,61,49,0,111,0,480,10,214
F285#F2695,65,40,0,106,0,480,10,215
F285#F7698,59,39,0,98,0,480,10,216
F285#F8912,102,42,0,145,0,480,10,217
F285#F3931,69,42,0,112,0,480,10,218
F285#F1314,63,38,0,103,0,480,10,219
F285#F9918,60,95,0,156,0,480,10,220
F285#F325,72,55,0,128,0,480,10,221
F285#F6375,82,43,0,126,0,480,10,222
F285#F6123,61,42,0,105,0,480,10,223
F285#F1446,60,37,0,98,0,480,10,224
F285#F6904,56,34,0,91,0,480,10,225
F285#F1990,62,37,0,101,0,480,10,226
F285#F4757,55,36,0,92,0,480,10,227
F285#F4730,78,76,0,155,0,480,10,228
F285#F204,53,75,0,129,0,480,10,229
F285#F6054,47,35,0,83,0,480,10,230
F285#F1684,51,41,0,93,0,480,10,231
F285#F7419,54,33,0,89,0,480,10,232
F285#F1735,53,34,0,88,0,480,10,233
F285#F1614,75,67,0,144,0,480,10,234
F285#F5066,72,39,0,113,0,480,10,235
F285#F6752,77,54,0,133,0,480,10,236
F285#F1549,73,103,0,177,0,480,10,237
F285#F5727,178,61,0,240,0,480,10,238
F285#F8592,78,99,0,178,0,480,10,239
F285#F2714,62,41,0,104,0,480,10,240
F285#F4,63,43,0,107,0,480,10,241
F285#F5321,56,45,0,103,0,480,10,242
F285#F9357,63,39,0,103,0,480,10,243
F285#F2489,57,84,0,141,0,480,10,244
F285#F7155,57,47,0,104,0,480,10,245
F285#F4227,55,39,0,95,0,480,10,246
F285#F9516,46,86,0,133,0,480,10,247
F285#F2318,59,84,0,144,0,480,10,248
F285#F3564,55,83,0,139,0,480,10,249
F285#F1615,55,38,0,94,0,480,10,250
F285#F497,52,38,0,91,0,480,10,251
F285#F1862,52,33,0,87,0,480,10,252
F285#F2409,92,45,0,138,0,480,10,253
F285#F9332,64,43,0,108,0,480,10,254
F285#F2891,55,86,0,143,0,480,10,255
F285#F2585,49,37,0,87,0,480,10,256
F285#F4563,50,43,0,93,0,480,10,257
F285#F8199,52,39,0,92,0,480,10,258
F285#F9519,51,43,0,95,0,480,10,259
F285#F2420,63,88,0,153,0,480,10,260
F285#F5071,91,35,0,127,0,480,10,261
F285#F1927,50,36,0,87,0,480,10,262
F285#F3066,51,75,0,127,0,480,10,263
F285#F1009,54,84,0,139,0,480,10,264
F285#F4312,90,43,0,134,0,480,10,265
F285#F6569,53,36,0,90,0,480,10,266
F285#F3858,55,40,0,97,0,480,10,267
F285#F3707,53,37,0,90,0,480,10,268
F285#F2011,65,36,0,103,0,480,10,269
F285#F2015,66,62,0,129,0,480,10,270
F285#F4549,90,52,0,143,0,480,10,271
F285#F620,69,42,0,112,0,480,10,272
F285#F4552,68,61,0,130,0,480,10,273
F285#F5556,80,58,0,139,0,480,10,274
F285#F8817,71,52,0,125,0,480,10,275
F285#F9123,72,55,0,129,0,480,10,276
F285#F1400,97,55,0,154,0,480,10,277
F285#F4750,90,91,0,182,0,480,10,278
F285#F5920,67,85,0,153,0,480,10,279
F285#F2949,76,42,0,119,0,480,10,280
F285#F2901,63,45,0,110,0,480,10,281
F285#F4194,81,66,0,148,0,480,10,282
F285#F5165,72,56,0,129,0,480,10,283
F285#F4672,65,50,0,116,0,480,10,284
F285#F6727,64,96,0,161,0,480,10,285
F285#F8952,78,48,0,127,0,480,10,286
F285#F1116,65,45,0,111,0,480,10,287
F285#F5590,69,87,0,157,0,480,10,288
F285#F1671,59,41,0,101,0,480,10,289
F285#F2004,51,41,0,94,0,480,10,290
F285#F6293,53,37,0,92,0,480,10,291
F285#F4313,59,39,0,99,0,480,10,292
F285#F5837,59,36,0,97,0,480,10,293
F285#F9317,55,39,0,95,0,480,10,294
F285#F2357,60,40,0,101,0,480,10,295
F285#F2829,49,34,0,85,0,480,10,296
F285#F3588,49,35,0,85,0,480,10,297
F285#F9644,51,34,0,86,0,480,10,298
F285#F9989,66,36,0,104,0,480,10,299
F285#F5083,55,33,0,89,0,480,10,300
F285#F3749,94,44,0,140,0,480,10,301
F285#F3655,55,38,0,94,0,480,10,302
F285#F2070,80,92,0,173,0,480,10,303
F285#F1894,56,35,0,92,0,480,10,304
F285#F4894,72,89,0,162,0,480,10,305
F285#F7341,57,79,0,136,0,480,10,306
F285#F1797,49,37,0,88,0,480,10,307
F285#F4826,54,35,0,90,0,480,10,308
F285#F4418,57,35,0,94,0,480,10,309
F285#F78,60,34,0,96,0,480,10,310
F285#F6496,59,38,0,99,0,480,10,311
F285#F2114,65,38,0,105,0,480,10,312
F285#F1404,58,39,0,97,0,480,10,313
F285#F6523,53,36,0,91,0,480,10,314
F285#F2655,54,36,0,91,0,480,10,315
F285#F2998,49,36,0,85,0,480,10,316
F285#F3513,55,41,0,97,0,480,10,317
F285#F5403,51,39,0,91,0,480,10,318
F285#F5595,51,35,0,87,0,480,10,319
F285#F373,47,37,0,85,0,480,10,320
F285#F1337,45,39,0,86,0,480,10,321
F285#F678,54,43,0,98,0,480,10,322
F285#F3254,103,42,0,147,0,480,10,323
F285#F7297,65,75,0,141,0,480,10,324
F285#F1957,56,37,0,94,0,480,10,325
F285#F5846,64,36,0,102,0,480,10,326
F285#F6086,50,35,0,87,0,480,10,327
F285#F5311,52,31,0,84,0,480,10,328
F285#F9793,54,88,0,143,0,480,10,329
F285#F5688,49,81,0,131,0,480,10,330
F285#F2149,51,38,0,90,0,480,10,331
F285#F3442,62,84,0,147,0,480,10,332
F285#F2211,60,58,0,120,0,480,10,333
F285#F1391,50,36,0,87,0,480,10,334
F285#F6497,51,39,0,91,0,480,10,335
F285#F540,54,44,0,99,0,480,10,336
F285#F2535,50,37,0,89,0,480,10,337
F285#F5750,53,86,0,140,0,480,10,338
F285#F262,55,43,0,100,0,480,10,339
F285#F8567,55,55,0,111,0,480,10,340
F285#F6819,52,38,0,91,0,480,10,341
F285#F1513,55,39,0,95,0,480,10,342
F285#F8003,57,38,0,96,0,480,10,343
F285#F2874,52,37,0,90,0,480,10,344
F285#F6517,56,90,0,147,0,480,10,345
F285#F2745,53,45,0,99,0,480,10,346
F285#F8156,49,81,0,132,0,480,10,347
F285#F1963,50,32,0,84,0,480,10,348
F285#F517,46,34,0,81,0,480,10,349
F285#F4199,50,35,0,86,0,480,10,350
F285#F2219,47,36,0,84,0,480,10,351
F285#F365,57,90,0,148,0,480,10,352
F285#F4512,54,43,0,98,0,480,10,353
F285#F8530,55,35,0,91,0,480,10,354
F285#F9813,85,82,0,168,0,480,10,355
F285#F7500,50,40,0,91,0,480,10,356
F285#F6338,50,36,0,87,0,480,10,357
F285#F4924,49,38,0,89,0,480,10,358
F285#F8430,53,35,0,89,0,480,10,359
F285#F2007,60,34,0,95,0,480,10,360
F285#F2355,54,38,0,93,0,480,10,361
F285#F3840,54,36,0,92,0,480,10,362
F285#F9335,94,38,0,133,0,480,10,363
F285#F6170,52,38,0,91,0,480,10,364
F285#F6701,51,37,0,90,0,480,10,365
F285#F6641,50,45,0,96,0,480,10,366
F285#F5813,53,82,0,136,0,480,10,367
F285#F3324,50,34,0,86,0,480,10,368
F285#F4465,101,86,0,188,0,480,10,369
F285#F2387,61,36,0,98,0,480,10,370
F285#F1846,57,40,0,97,0,480,10,371
F285#F3382,57,41,0,99,0,480,10,372
F285#F622,51,80,0,132,0,480,10,373
F285#F1980,53,87,0,141,0,480,10,374
F285#F2966,66,46,0,113,0,480,10,375
F285#F7272,51,36,0,88,0,480,10,376
F285#F6329,54,40,0,95,0,480,10,377
F285#F5376,75,49,0,125,0,480,10,378
F285#F8205,70,92,0,163,0,480,10,379
F285#F3126,58,35,0,94,0,480,10,380
F285#F6429,51,92,0,145,0,480,10,381
F285#F2337,50,81,0,132,0,480,10,382
F285#F430,47,47,0,95,0,480,10,383
F285#F8044,55,36,0,92,0,480,10,384
F285#F9219,59,40,0,100,0,480,10,385
F285#F1362,52,70,0,123,0,480,10,386
F285#F2117,53,36,0,90,0,480,10,387
F285#F8519,59,39,0,99,0,480,10,388
F285#F5821,64,36,0,102,0,480,10,389
F285#F628,53,39,0,94,0,480,10,390
F285#F4254,56,41,0,98,0,480,10,391
F285#F680,48,39,0,88,0,480,10,392
F285#F6383,52,38,0,91,0,480,10,393
F285#F647,60,34,0,95,0,480,10,394
F285#F3627,56,36,0,93,0,480,10,395
F285#F6599,61,35,0,100,0,480,10,396
F285#F764,59,40,0,101,0,480,10,397
F285#F5428,55,43,0,99,0,480,10,398
F285#F1924,80,46,0,128,0,480,10,399
F285#F9745,72,46,0,119,0,480,10,400
F285#F6422,77,95,0,174,0,480,10,401
F285#F1526,92,100,0,194,0,480,10,402
F285#F3153,107,60,0,169,0,480,10,403
F285#F6240,74,61,0,136,0,480,10,404
F285#F7611,88,45,0,135,0,480,10,405
F285#F1859,70,46,0,117,0,480,10,406
F285#F4984,53,38,0,92,0,480,10,407
F285#F1539,83,35,0,119,0,480,10,408
F285#F1744,51,34,0,86,0,480,10,409
F285#F3471,54,81,0,136,0,480,10,410
F285#F3435,52,84,0,137,0,480,10,411
F285#F4542,51,44,0,97,0,480,10,412
F285#F7262,52,42,0,95,0,480,10,413
F285#F7779,49,37,0,87,0,480,10,414
F285#F462,51,34,0,87,0,480,10,415
F285#F7749,49,38,0,89,0,480,10,416
F285#F7009,61,42,0,104,0,480,10,417
F285#F2424,96,43,0,140,0,480,10,418
F285#F498,64,39,0,104,0,480,10,419
F285#F6689,53,36,0,90,0,480,10,420
F285#F3405,62,86,0,150,0,480,10,421
F285#F2956,54,85,0,141,0,480,10,422
F285#F2959,51,40,0,92,0,480,10,423
F285#F2406,55,34,0,91,0,480,10,424
