keyword       ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F13470#F54308 ,        12 ,         5 ,       18 ,           6 ,        654
F44651#F58998 ,         2 ,         0 ,        3 ,           0 ,         92
F17578#F33205 ,         6 ,         1 ,        8 ,           2 ,        278
F6520#F2662   ,        92 ,        36 ,      129 ,          28 ,       4559
F991#F60895   ,         2 ,         1 ,        4 ,           1 ,         94
F34415#F49558 ,         2 ,         1 ,        4 ,           1 ,         94
F20894#F630   ,        46 ,        20 ,       67 ,          22 ,       2433
F24534#F10479 ,        24 ,        11 ,       36 ,          12 ,       1310
F3116#F49216  ,        17 ,         6 ,       25 ,          10 ,        937
F47572#F39718 ,        11 ,         4 ,       16 ,           3 ,        558
F16474#F18037 ,        73 ,        28 ,      102 ,          25 ,       3450
F21470#F53397 ,        14 ,         5 ,       20 ,           6 ,        745
F7047#F42772  ,        20 ,         7 ,       27 ,           9 ,       1028
F20794#F30481 ,        48 ,        20 ,       69 ,          19 ,       2518
F40109#F60818 ,         3 ,         2 ,        6 ,           1 ,        186
F23618#F23184 ,        20 ,         8 ,       29 ,           7 ,       1025
F44884#F26301 ,        11 ,         4 ,       16 ,           2 ,        555
F62803#F830   ,         2 ,         0 ,        4 ,           1 ,         93
F8992#F14754  ,        68 ,        33 ,      102 ,          27 ,       3827
F59426#F19392 ,         1 ,         0 ,        3 ,           0 ,         92
F14778#F59919 ,         4 ,         1 ,        6 ,           2 ,        186
F9437#F771    ,        52 ,        19 ,       71 ,          13 ,       2231
F6204#F37883  ,        40 ,        18 ,       59 ,          16 ,       2054
F51698#F56418 ,         4 ,         1 ,        6 ,           0 ,        184
F22726#F60848 ,         9 ,         4 ,       14 ,           4 ,        466
F55800#F55263 ,         1 ,         0 ,        3 ,           1 ,         94
F61148#F3051  ,         1 ,         0 ,        3 ,           1 ,         93
F54464#F21995 ,        12 ,         5 ,       19 ,           5 ,        653
F18092#F30178 ,        69 ,        29 ,       99 ,          28 ,       3731
F6778#F19479  ,        56 ,        21 ,       79 ,          23 ,       2619
F17356#F57065 ,         5 ,         1 ,        8 ,           3 ,        281
F30036#F61844 ,         1 ,         0 ,        3 ,           1 ,         93
F16612#F56802 ,         1 ,         0 ,        3 ,           1 ,         93
F5531#F19017  ,        45 ,        19 ,       65 ,          18 ,       2422
F13106#F47694 ,        28 ,        11 ,       40 ,          12 ,       1402
F16172#F50984 ,        17 ,         7 ,       26 ,           8 ,        934
F32778#F23182 ,        15 ,         7 ,       23 ,           1 ,        829
F24410#F6031  ,        54 ,        22 ,       77 ,          20 ,       2886
F180#F3649    ,        28 ,        11 ,       40 ,          11 ,       1489
F21920#F5480  ,        63 ,        23 ,       86 ,          28 ,       3085
F51403#F45274 ,        12 ,         6 ,       19 ,           3 ,        741
F62966#F48405 ,         2 ,         0 ,        3 ,           0 ,         92
F60151#F13296 ,         1 ,         0 ,        3 ,           1 ,         93
F10991#F2554  ,        48 ,        22 ,       70 ,          22 ,       2614
F43598#F29010 ,        13 ,         5 ,       20 ,           4 ,        650
F11263#F9794  ,        49 ,        23 ,       73 ,          17 ,       2696
F43192#F47285 ,         9 ,         3 ,       13 ,           4 ,        466
F12742#F32062 ,        17 ,         7 ,       26 ,           5 ,        928
F52737#F13372 ,        33 ,        11 ,       45 ,           5 ,       1297
F49843#F376   ,        26 ,        10 ,       37 ,          12 ,       1218
F49983#F34517 ,         3 ,         1 ,        6 ,           0 ,        184
F28647#F15314 ,        43 ,        18 ,       62 ,          16 ,       2329
