updtw1,updtw2,storage
319,9738,330043.68
320,9738,330093.92
321,9738,330144.16
322,9738,330194.4
323,9738,330244.64
324,9738,330294.88
325,9738,330345.12
326,9738,330395.36
327,9738,330445.6
328,9738,330495.84
329,9738,330546.08
330,9738,330596.32
331,9738,330646.56
332,9738,330696.8
333,9738,330747.04
334,9738,330797.28
335,9738,330847.52
336,9738,330897.76
337,9738,330948.0
338,9738,330998.24
339,9738,331048.48
340,9738,331098.72
341,9738,331148.96
342,9738,331199.2
343,9738,331249.44
344,9738,331299.68
345,9738,331349.92
346,9738,331400.16
347,9738,331450.4
348,9738,331500.64
349,9738,331550.88
350,9738,331601.12
351,9738,331651.36
352,9738,331701.6
353,9738,331751.84
354,9738,331802.08
355,9738,331852.32
356,9738,331902.56
357,9738,331952.8
358,9738,332003.04
359,9738,332053.28
360,9738,332103.52
361,9738,332153.76
362,9738,332204.0
363,9738,332254.24
364,9738,332304.48
365,9738,332354.72
366,9738,332404.96
367,9738,332455.2
368,9738,332505.44
369,9738,332555.68
370,9738,332605.92
371,9738,332656.16
372,9738,332706.4
373,9738,332756.64
374,9738,332806.88
375,9738,332857.12
376,9738,332907.36
377,9738,332957.6
378,9738,333007.84
379,9738,333058.08
380,9738,333108.32
381,9738,333158.56
382,9738,333208.8
383,9738,333259.04
384,9738,333309.28
385,9738,333359.52
386,9738,333409.76
387,9738,333460.0
388,9738,333510.24
389,9738,333560.48
390,9738,333610.72
391,9738,333660.96
392,9738,333711.2
393,9738,333761.44
394,9738,333811.68
395,9738,333861.92
396,9738,333912.16
397,9738,333962.4
398,9738,334012.64
399,9738,334062.88
400,9738,334113.12
401,9738,334163.36
402,9738,334213.6
403,9738,334263.84
404,9738,334314.08
405,9738,334364.32
406,9738,334414.56
407,9738,334464.8
408,9738,334515.04
409,9738,334565.28
410,9738,334615.52
411,9738,334665.76
412,9738,334716.0
413,9738,334766.24
414,9738,334816.48
415,9738,334866.72
416,9738,334916.96
417,9738,334967.2
418,9738,335017.44
419,9738,335067.68
420,9738,335117.92
421,9738,335168.16
