updtw1,updtw2,storage
319,26946,884829.6
320,26946,884879.84
321,26946,884930.08
322,26946,884980.32
323,26946,885030.56
324,26946,885080.8
325,26946,885131.04
326,26946,885181.28
327,26946,885231.52
328,26946,885281.76
329,26946,885332.0
330,26946,885382.24
331,26946,885432.48
332,26946,885482.72
333,26946,885532.96
334,26946,885583.2
335,26946,885633.44
336,26946,885683.68
337,26946,885733.92
338,26946,885784.16
339,26946,885834.4
340,26946,885884.64
341,26946,885934.88
342,26946,885985.12
343,26946,886035.36
344,26946,886085.6
345,26946,886135.84
346,26946,886186.08
347,26946,886236.32
348,26946,886286.56
349,26946,886336.8
350,26946,886387.04
351,26946,886437.28
352,26946,886487.52
353,26946,886537.76
354,26946,886588.0
355,26946,886638.24
356,26946,886688.48
357,26946,886738.72
358,26946,886788.96
359,26946,886839.2
360,26946,886889.44
361,26946,886939.68
362,26946,886989.92
363,26946,887040.16
364,26946,887090.4
365,26946,887140.64
366,26946,887190.88
367,26946,887241.12
368,26946,887291.36
369,26946,887341.6
370,26946,887391.84
371,26946,887442.08
372,26946,887492.32
373,26946,887542.56
374,26946,887592.8
375,26946,887643.04
376,26946,887693.28
377,26946,887743.52
378,26946,887793.76
379,26946,887844.0
380,26946,887894.24
381,26946,887944.48
382,26946,887994.72
383,26946,888044.96
384,26946,888095.2
385,26946,888145.44
386,26946,888195.68
387,26946,888245.92
388,26946,888296.16
389,26946,888346.4
390,26946,888396.64
391,26946,888446.88
392,26946,888497.12
393,26946,888547.36
394,26946,888597.6
395,26946,888647.84
396,26946,888698.08
397,26946,888748.32
398,26946,888798.56
399,26946,888848.8
400,26946,888899.04
401,26946,888949.28
402,26946,888999.52
403,26946,889049.76
404,26946,889100.0
405,26946,889150.24
406,26946,889200.48
407,26946,889250.72
408,26946,889300.96
409,26946,889351.2
410,26946,889401.44
411,26946,889451.68
412,26946,889501.92
413,26946,889552.16
414,26946,889602.4
415,26946,889652.64
416,26946,889702.88
417,26946,889753.12
418,26946,889803.36
419,26946,889853.6
420,26946,889903.84
421,26946,889954.08
422,26946,890004.32
423,26946,890054.56
424,26946,890104.8
425,26946,890155.04
426,26946,890205.28
427,26946,890255.52
428,26946,890305.76
429,26946,890356.0
430,26946,890406.24
431,26946,890456.48
432,26946,890506.72
433,26946,890556.96
434,26946,890607.2
435,26946,890657.44
436,26946,890707.68
437,26946,890757.92
438,26946,890808.16
439,26946,890858.4
440,26946,890908.64
441,26946,890958.88
442,26946,891009.12
443,26946,891059.36
444,26946,891109.6
445,26946,891159.84
446,26946,891210.08
447,26946,891260.32
448,26946,891310.56
449,26946,891360.8
450,26946,891411.04
451,26946,891461.28
452,26946,891511.52
453,26946,891561.76
454,26946,891612.0
455,26946,891662.24
456,26946,891712.48
457,26946,891762.72
458,26946,891812.96
459,26946,891863.2
460,26946,891913.44
461,26946,891963.68
462,26946,892013.92
463,26946,892064.16
464,26946,892114.4
465,26946,892164.64
466,26946,892214.88
467,26946,892265.12
468,26946,892315.36
469,26946,892365.6
470,26946,892415.84
471,26946,892466.08
472,26946,892516.32
473,26946,892566.56
474,26946,892616.8
475,26946,892667.04
476,26946,892717.28
477,26946,892767.52
478,26946,892817.76
479,26946,892868.0
480,26946,892918.24
481,26946,892968.48
482,26946,893018.72
483,26946,893068.96
484,26946,893119.2
485,26946,893169.44
486,26946,893219.68
487,26946,893269.92
488,26946,893320.16
489,26946,893370.4
490,26946,893420.64
491,26946,893470.88
492,26946,893521.12
493,26946,893571.36
494,26946,893621.6
495,26946,893671.84
496,26946,893722.08
497,26946,893772.32
498,26946,893822.56
499,26946,893872.8
500,26946,893923.04
501,26946,893973.28
502,26946,894023.52
503,26946,894073.76
504,26946,894124.0
505,26946,894174.24
506,26946,894224.48
507,26946,894274.72
508,26946,894324.96
509,26946,894375.2
510,26946,894425.44
511,26946,894475.68
512,26946,894525.92
513,26946,894576.16
514,26946,894626.4
515,26946,894676.64
516,26946,894726.88
517,26946,894777.12
518,26946,894827.36
519,26946,894877.6
520,26946,894927.84
521,26946,894978.08
522,26946,895028.32
523,26946,895078.56
524,26946,895128.8
525,26946,895179.04
526,26946,895229.28
527,26946,895279.52
528,26946,895329.76
529,26946,895380.0
530,26946,895430.24
531,26946,895480.48
532,26946,895530.72
533,26946,895580.96
534,26946,895631.2
