keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize
F10800#F10552,         51,         34,        86,            0,         480
F10800#F10822,         47,         35,        83,            0,         480
F10800#F10186,         50,         41,        92,            0,         480
F10800#F10263,         53,         46,       100,            0,         480
F10800#F10685,         55,         37,        93,            0,         480
F10800#F10097,         54,         92,       147,            0,         480
F10800#F10041,         48,         39,        88,            0,         480
F10800#F10231,         45,         39,        85,            0,         480
F10800#F10383,         45,         37,        83,            0,         480
F10800#F10392,         49,         33,        83,            0,         480
F10800#F10106,         46,         34,        81,            0,         480
F10800#F10019,         49,         35,        85,            0,         480
F10800#F10082,         85,         37,       123,            0,         480
F10800#F10592,         49,         37,        87,            0,         480
F10800#F10011,         48,         36,        84,            0,         480
F10800#F10048,         52,         35,        88,            0,         480
F10800#F1033 ,         58,         37,        95,            0,         480
F10800#F10040,         56,         83,       139,            0,         480
F10800#F10631,         88,         36,       125,            0,         480
F10800#F10065,         50,         36,        87,            0,         480
F10800#F10233,         69,         80,       150,            0,         480
F10800#F10250,         53,         41,        95,            0,         480
F10800#F10639,         52,         38,        91,            0,         480
F10800#F10622,         50,         38,        89,            0,         480
F10800#F1106 ,         51,         35,        87,            0,         480
F10800#F10260,         51,         35,        87,            0,         480
F10800#F10157,         50,         82,       133,            0,         480
F10800#F10984,         49,         40,        89,            0,         480
F10800#F10110,         48,         40,        88,            0,         480
F10800#F1049 ,         47,         97,       144,            0,         480
F10800#F10062,         72,         36,       109,            0,         480
F10800#F10090,         51,         44,        95,            0,         480
F10800#F10197,         52,         45,        99,            0,         480
F10800#F10180,         73,         44,       118,            0,         480
F10800#F10194,         67,         48,       115,            0,         480
F10800#F10116,         50,         34,        85,            0,         480
F10800#F10423,         52,         37,        89,            0,         480
F10800#F10584,         64,         39,       104,            0,         480
F10800#F10435,         94,         37,       132,            0,         480
F10800#F10017,         70,         81,       152,            0,         480
F10800#F10027,         56,         41,        98,            0,         480
F10800#F10095,         51,         36,        87,            0,         480
F10800#F10049,         54,         35,        90,            0,         480
F10800#F10181,         45,         35,        81,            0,         480
F10800#F10324,         46,         34,        81,            0,         480
F10800#F10764,         43,         33,        77,            0,         480
F10800#F11431,         46,         34,        81,            0,         480
F10800#F10360,         49,         36,        85,            0,         480
F10800#F10688,         87,         37,       125,            0,         480
F10800#F10067,         45,         41,        86,            0,         480
F10800#F10252,         47,         36,        83,            0,         480
F10800#F10227,         43,         37,        81,            0,         480
F10800#F1009 ,         46,         37,        84,            0,         480
F10800#F10109,         55,         84,       139,            0,         480
F10800#F10074,         49,         35,        85,            0,         480
F10800#F10084,         48,         38,        86,            0,         480
F10800#F10318,         53,         35,        88,            0,         480
F10800#F10119,         48,         35,        84,            0,         480
F10800#F10185,         51,         83,       135,            0,         480
F10800#F11093,         55,         31,        87,            0,         480
F10800#F10288,         46,         85,       132,            0,         480
F10800#F10412,         47,         71,       119,            0,         480
F10800#F10929,         54,         34,        89,            0,         480
F10800#F10871,         54,         33,        88,            0,         480
F10800#F10243,         47,         36,        84,            0,         480
F10800#F10008,         47,         35,        83,            0,         480
F10800#F1017 ,         59,         90,       150,            0,         480
F10800#F10245,         49,         71,       121,            0,         480
F10800#F10913,         51,         38,        90,            0,         480
F10800#F10070,         55,         40,        96,            0,         480
F10800#F10522,         48,         40,        89,            0,         480
F10800#F10587,         55,         43,        99,            0,         480
F10800#F11237,         51,         38,        90,            0,         480
F10800#F11664,         56,         40,        97,            0,         480
F10800#F10001,         51,         44,        95,            0,         480
F10800#F10125,         55,         40,        96,            0,         480
F10800#F11102,         54,         38,        92,            0,         480
F10800#F10425,         54,         44,        98,            0,         480
F10800#F10718,         50,         86,       138,            0,         480
F10800#F10689,         46,         38,        85,            0,         480
