keyword     , clientTime, serverTime, totalTime, resultLength, payloadSize
F1438#F10989,       1997,       1833,      3830,            0,        5952
F1438#F10069,       2019,       1858,      3878,            0,        6000
F1438#F10316,       2028,       1856,      3885,            0,        6048
F1438#F10080,       2049,       1907,      3957,            0,        6096
F1438#F10086,       2100,       1989,      4089,            0,        6144
F1438#F10697,       2069,       1894,      3963,            0,        6192
F1438#F10707,       2090,       1906,      3996,            0,        6240
F1438#F10277,       2108,       1909,      4018,            0,        6288
F1438#F10079,       2145,       1959,      4105,            0,        6336
F1438#F10098,       2130,       2072,      4202,            0,        6384
F1438#F10045,       2157,       1972,      4130,            0,        6432
F1438#F10183,       2178,       2012,      4191,            0,        6480
F1438#F10290,       2192,       1999,      4191,            0,        6528
F1438#F10353,       2173,       2023,      4196,            0,        6576
F1438#F10608,       2209,       2584,      4794,            0,        6624
F1438#F1024 ,       2211,       1997,      4208,            0,        6672
F1438#F10175,       2268,       2065,      4333,            0,        6720
F1438#F10039,       2275,       2072,      4348,            0,        6768
F1438#F10281,       2274,       2070,      4344,            0,        6816
F1438#F10808,       2422,       2074,      4497,            0,        6864
F1438#F10042,       2324,       2113,      4438,            0,        6912
F1438#F10488,       2327,       2115,      4443,            0,        6960
F1438#F10239,       2349,       2118,      4468,            0,        7008
F1438#F10552,       2364,       2290,      4655,            0,        7056
F1438#F10822,       2374,       2175,      4549,            0,        7104
F1438#F10186,       2397,       2193,      4591,            0,        7152
F1438#F10263,       2376,       2212,      4589,            0,        7200
F1438#F10685,       2414,       2281,      4696,            0,        7248
F1438#F10097,       2469,       2230,      4699,            0,        7296
F1438#F10041,       2446,       2242,      4688,            0,        7344
F1438#F10231,       2481,       2257,      4738,            0,        7392
F1438#F10383,       2468,       2348,      4817,            0,        7440
F1438#F10392,       2509,       2286,      4795,            0,        7488
F1438#F10106,       2508,       2302,      4811,            0,        7536
F1438#F10019,       2546,       2338,      4885,            0,        7584
F1438#F10082,       2563,       2362,      4925,            0,        7632
F1438#F10592,       2682,       2329,      5011,            0,        7680
F1438#F10011,       2614,       2393,      5007,            0,        7728
F1438#F10048,       2590,       2384,      4976,            0,        7776
F1438#F1033 ,       2618,       2360,      4979,            0,        7824
F1438#F10040,       2721,       2421,      5142,            0,        7872
F1438#F10631,       2655,       2410,      5066,            0,        7920
F1438#F10065,       2653,       2455,      5108,            0,        7968
F1438#F10233,       2680,       2463,      5144,            0,        8016
F1438#F10250,       2807,       2487,      5295,            0,        8064
F1438#F10639,       2731,       2476,      5208,            0,        8112
F1438#F10622,       2726,       2462,      5189,            0,        8160
F1438#F1106 ,       2750,       2577,      5328,            0,        8208
F1438#F10260,       2766,       2536,      5303,            0,        8256
F1438#F10157,       2801,       2572,      5374,            0,        8304
F1438#F10984,       2808,       2520,      5329,            0,        8352
F1438#F10110,       2791,       2688,      5480,            0,        8400
F1438#F1049 ,       2852,       2580,      5433,            0,        8448
F1438#F10062,       2847,       2613,      5461,            0,        8496
F1438#F10090,       2890,       2638,      5528,            0,        8544
F1438#F10197,       2988,       2687,      5676,            0,        8592
F1438#F10180,       2897,       2635,      5533,            0,        8640
F1438#F10194,       2898,       2711,      5610,            0,        8688
F1438#F10116,       2910,       2776,      5687,            0,        8736
F1438#F10423,       2961,       2681,      5643,            0,        8784
F1438#F10584,       2946,       2680,      5627,            0,        8832
F1438#F10435,       2995,       2705,      5701,            0,        8880
F1438#F10017,       3106,       2766,      5874,            0,        8928
F1438#F10027,       3031,       2795,      5826,            0,        8976
F1438#F10095,       3007,       2773,      5781,            0,        9024
F1438#F10049,       3055,       2939,      5995,            0,        9072
F1438#F10181,       3074,       2821,      5895,            0,        9120
F1438#F10324,       3061,       2828,      5890,            0,        9168
F1438#F10764,       3104,       2798,      5902,            0,        9216
F1438#F11431,       3237,       2846,      6084,            0,        9264
F1438#F10360,       3159,       3098,      6258,            0,        9312
F1438#F10688,       3134,       2842,      5976,            0,        9360
F1438#F10067,       3240,       2903,      6143,            0,        9408
F1438#F10252,       3164,       2887,      6052,            0,        9456
F1438#F10227,       3175,       2934,      6110,            0,        9504
F1438#F1009 ,       3189,       2983,      6173,            0,        9552
F1438#F10109,       3245,       2928,      6174,            0,        9600
F1438#F10074,       3298,       2967,      6265,            0,        9648
F1438#F10084,       3234,       3048,      6283,            0,        9696
F1438#F10318,       3256,       3023,      6280,            0,        9744
F1438#F10119,       3285,       3019,      6305,            0,        9792
F1438#F10185,       3311,       3050,      6361,            0,        9840
F1438#F11093,       3867,       3010,      6878,            0,        9888
F1438#F10288,       3304,       3358,      6662,            0,        9936
F1438#F10412,       3402,       3069,      6472,            0,        9984
F1438#F10929,       3609,       3040,      6649,            0,       10032
F1438#F10871,       3375,       3057,      6434,            0,       10080
F1438#F10243,       3407,       3097,      6505,            0,       10128
F1438#F10008,       3514,       3319,      6833,            0,       10176
F1438#F1017 ,       3429,       3079,      6508,            0,       10224
F1438#F10245,       3775,       3121,      6897,            0,       10272
F1438#F10913,       3552,       3154,      6707,            0,       10320
F1438#F10070,       3498,       3196,      6694,            0,       10368
F1438#F10522,       3487,       3184,      6672,            0,       10416
F1438#F10587,       3623,       3209,      6833,            0,       10464
F1438#F11237,       3535,       3278,      6813,            0,       10512
F1438#F11664,       3577,       3320,      6898,            0,       10560
F1438#F10001,       3578,       3291,      6870,            0,       10608
F1438#F10125,       3570,       3271,      6841,            0,       10656
F1438#F11102,       3568,       3342,      6911,            0,       10704
F1438#F10425,       3609,       3294,      6904,            0,       10752
F1438#F10718,       3612,       3259,      6872,            0,       10800
F1438#F10689,       3606,       3361,      6967,            0,       10848
F1438#F10167,       3659,       3347,      7007,            0,       10896
F1438#F1015 ,       3643,       3313,      6956,            0,       10944
F1438#F10215,       3700,       3526,      7226,            0,       10992
F1438#F10518,       3658,       3329,      6987,            0,       11040
F1438#F10050,       3901,       3382,      7283,            0,       11088
F1438#F10665,       4014,       3444,      7458,            0,       11136
F1438#F10477,       3877,       3375,      7253,            0,       11184
F1438#F10173,       3884,       3444,      7329,            0,       11232
F1438#F10007,       3997,       3490,      7488,            0,       11280
F1438#F11813,       3920,       3497,      7418,            0,       11328
F1438#F10229,       3901,       3554,      7456,            0,       11376
F1438#F10209,       3942,       3516,      7459,            0,       11424
F1438#F11048,       3984,       3514,      7499,            0,       11472
F1438#F10446,       4087,       3492,      7580,            0,       11520
F1438#F10026,       4006,       3556,      7562,            0,       11568
F1438#F10322,       4018,       3576,      7595,            0,       11616
F1438#F10232,       4188,       3630,      7819,            0,       11664
F1438#F10000,       4058,       3609,      7668,            0,       11712
F1438#F10123,       4039,       3796,      7836,            0,       11760
F1438#F10208,       4130,       3675,      7806,            0,       11808
F1438#F10009,       4134,       3664,      7799,            0,       11856
F1438#F11541,       4174,       3702,      7877,            0,       11904
F1438#F11400,       4165,       3709,      7875,            0,       11952
F1438#F10172,       4150,       3785,      7936,            0,       12000
F1438#F10101,       4209,       3756,      7965,            0,       12048
F1438#F11925,       4227,       3771,      7999,            0,       12096
F1438#F10799,       4249,       3706,      7956,            0,       12144
F1438#F1082 ,       4231,       3728,      7960,            0,       12192
F1438#F1077 ,       4227,       3917,      8145,            0,       12240
F1438#F10524,       4308,       3829,      8137,            0,       12288
F1438#F11045,       4376,       3832,      8209,            0,       12336
F1438#F1027 ,       4465,       3831,      8297,            0,       12384
F1438#F10448,       4333,       3824,      8158,            0,       12432
F1438#F10127,       4367,       3917,      8286,            0,       12480
F1438#F10134,       4317,       3921,      8238,            0,       12528
F1438#F1130 ,       4450,       3940,      8391,            0,       12576
F1438#F10258,       4365,       3991,      8357,            0,       12624
F1438#F11386,       4415,       3939,      8355,            0,       12672
F1438#F10156,       4603,       3970,      8574,            0,       12720
F1438#F1018 ,       4431,       3891,      8322,            0,       12768
F1438#F10078,       4455,       4062,      8517,            0,       12816
F1438#F11186,       4546,       3985,      8532,            0,       12864
F1438#F10025,       4420,       3982,      8403,            0,       12912
F1438#F10882,       4566,       4025,      8592,            0,       12960
F1438#F10935,       4567,       4057,      8625,            0,       13008
F1438#F10212,       4554,       4060,      8615,            0,       13056
F1438#F10129,       4528,       4124,      8652,            0,       13104
F1438#F10332,       4545,       4164,      8710,            0,       13152
F1438#F10321,       4588,       4070,      8659,            0,       13200
F1438#F10076,       4604,       4162,      8767,            0,       13248
F1438#F11545,       4728,       4123,      8851,            0,       13296
F1438#F11096,       4624,       4095,      8720,            0,       13344
F1438#F10060,       4701,       4147,      8849,            0,       13392
F1438#F10164,       4643,       4171,      8814,            0,       13440
F1438#F10389,       4670,       4324,      8994,            0,       13488
F1438#F10133,       4721,       4178,      8900,            0,       13536
F1438#F10248,       4699,       4235,      8934,            0,       13584
F1438#F11487,       4792,       4255,      9047,            0,       13632
F1438#F1016 ,       4711,       4170,      8881,            0,       13680
F1438#F10442,       4809,       4206,      9016,            0,       13728
F1438#F11185,       4760,       4245,      9005,            0,       13776
F1438#F10242,       4830,       4283,      9113,            0,       13824
F1438#F11334,       4889,       4373,      9263,            0,       13872
F1438#F10291,       4849,       4325,      9174,            0,       13920
F1438#F11405,       4837,       4384,      9221,            0,       13968
F1438#F1069 ,       4898,       4341,      9239,            0,       14016
F1438#F11584,       4859,       4367,      9227,            0,       14064
F1438#F10733,       4849,       4363,      9212,            0,       14112
F1438#F10476,       4919,       4386,      9306,            0,       14160
F1438#F10842,       4999,       4303,      9302,            0,       14208
F1438#F11211,       5022,       4421,      9444,            0,       14256
F1438#F10128,       4960,       4498,      9459,            0,       14304
F1438#F10105,       5029,       4468,      9498,            0,       14352
F1438#F10273,       4958,       4442,      9401,            0,       14400
F1438#F10284,       5041,       4455,      9497,            0,       14448
F1438#F10028,       5117,       4509,      9626,            0,       14496
F1438#F10554,       5095,       4440,      9536,            0,       14544
F1438#F10058,       5031,       4550,      9582,            0,       14592
F1438#F10439,       5159,       4504,      9664,            0,       14640
F1438#F11134,       5093,       4466,      9559,            0,       14688
F1438#F11785,       5226,       4532,      9758,            0,       14736
F1438#F10093,       5126,       4588,      9714,            0,       14784
F1438#F1108 ,       5247,       4617,      9866,            0,       14832
F1438#F10574,       5165,       4681,      9846,            0,       14880
F1438#F10553,       5457,       4604,     10062,            0,       14928
F1438#F10333,       5259,       4687,      9947,            0,       14976
F1438#F1085 ,       5271,       4773,     10045,            0,       15024
F1438#F10295,       5266,       4712,      9978,            0,       15072
F1438#F10262,       5250,       4777,     10029,            0,       15120
F1438#F10148,       5377,       4724,     10101,            0,       15168
F1438#F10486,       5376,       4762,     10139,            0,       15216
F1438#F1051 ,       5295,       4719,     10015,            0,       15264
F1438#F10075,       5460,       4748,     10209,            0,       15312
F1438#F10137,       5428,       4817,     10245,            0,       15360
F1438#F11306,       5455,       4791,     10247,            0,       15408
F1438#F10840,       5344,       4719,     10065,            0,       15456
F1438#F10144,       5427,       4803,     10231,            0,       15504
F1438#F10030,       5415,       4804,     10220,            0,       15552
F1438#F10682,       5394,       4781,     10176,            0,       15600
F1438#F10003,       5401,       4841,     10244,            0,       15648
F1438#F10331,       5565,       4826,     10391,            0,       15696
F1438#F10803,       5426,       4798,     10226,            0,       15744
F1438#F1004 ,       5666,       4838,     10505,            0,       15792
F1438#F10569,       5504,       4828,     10333,            0,       15840
F1438#F10051,       5576,       4913,     10489,            0,       15888
F1438#F11141,       5546,       4855,     10402,            0,       15936
F1438#F1310 ,       5578,       4848,     10427,            0,       15984
F1438#F10363,       5546,       4971,     10518,            0,       16032
F1438#F10677,       5511,       4889,     10400,            0,       16080
F1438#F10753,       5575,       5031,     10607,            0,       16128
F1438#F10196,       5586,       4982,     10568,            0,       16176
F1438#F10251,       5594,       5090,     10685,            0,       16224
F1438#F10473,       5663,       4949,     10613,            0,       16272
F1438#F10327,       5642,       5101,     10744,            0,       16320
F1438#F1081 ,       5641,       4998,     10640,            0,       16368
F1438#F1007 ,       5784,       5071,     10855,            0,       16416
F1438#F10969,       5693,       5019,     10712,            0,       16464
F1438#F10107,       5767,       5109,     10877,            0,       16512
F1438#F10359,       5859,       5107,     10967,            0,       16560
F1438#F10002,       5811,       5165,     10977,            0,       16608
F1438#F1008 ,       5821,       5060,     10881,            0,       16656
F1438#F12082,       5862,       5102,     10965,            0,       16704
F1438#F10059,       5854,       5293,     11147,            0,       16752
F1438#F10269,       5853,       5166,     11019,            0,       16800
F1438#F1105 ,       5837,       5193,     11031,            0,       16848
F1438#F10184,       5843,       5236,     11080,            0,       16896
F1438#F10701,       5994,       5159,     11154,            0,       16944
F1438#F10883,       5868,       5208,     11077,            0,       16992
F1438#F1057 ,       5983,       5173,     11157,            0,       17040
F1438#F10071,       5913,       5453,     11367,            0,       17088
F1438#F11041,       6058,       5315,     11374,            0,       17136
F1438#F10203,       5974,       5400,     11375,            0,       17184
F1438#F10352,       6023,       5497,     11521,            0,       17232
F1438#F10168,       5948,       5503,     11451,            0,       17280
F1438#F10461,       6030,       5306,     11337,            0,       17328
F1438#F10145,       6098,       5374,     11473,            0,       17376
F1438#F12033,       6048,       5350,     11399,            0,       17424
F1438#F11179,       6175,       5374,     11549,            0,       17472
F1438#F1    ,       6071,       5428,     11500,            0,       17520
F1438#F11549,       6138,       5486,     11625,            0,       17568
F1438#F10421,       6115,       5496,     11612,            0,       17616
F1438#F10323,       6169,       5488,     11658,            0,       17664
F1438#F10414,       6179,       5406,     11587,            0,       17712
F1438#F12399,       6149,       5542,     11692,            0,       17760
F1438#F10506,       6183,       5511,     11695,            0,       17808
F1438#F10214,       6203,       5602,     11806,            0,       17856
F1438#F11320,       6224,       5577,     11802,            0,       17904
F1438#F10010,       6344,       5564,     11909,            0,       17952
F1438#F10104,       6372,       5578,     11951,            0,       18000
F1438#F10155,       6239,       5599,     11839,            0,       18048
F1438#F10092,      26812,       6059,     32872,            0,       18096
F1438#F11651,       6932,       5971,     12904,            0,       18144
F1438#F1092 ,       7023,       5874,     12898,            0,       18192
F1438#F10694,       7008,       5997,     13006,            0,       18240
F1438#F10315,       6957,       5980,     12937,            0,       18288
F1438#F13306,       7622,       6202,     13825,            0,       18336
F1438#F11189,       6714,       5838,     12552,            0,       18384
F1438#F10870,       6523,       5576,     12099,            0,       18432
F1438#F12921,       6441,       5554,     11996,            0,       18480
F1438#F10368,       6404,       5595,     11999,            0,       18528
F1438#F11040,       6486,       5623,     12109,            0,       18576
F1438#F10329,       6418,       5996,     12415,            0,       18624
F1438#F12863,       6846,       5625,     12472,            0,       18672
F1438#F10495,       6531,       5658,     12190,            0,       18720
F1438#F11627,       6529,       5721,     12251,            0,       18768
F1438#F10408,       6558,       5683,     12242,            0,       18816
F1438#F11449,       6518,       5884,     12402,            0,       18864
F1438#F10206,       6547,       5798,     12346,            0,       18912
F1438#F10047,       6598,       5820,     12418,            0,       18960
F1438#F10021,       6561,       5867,     12428,            0,       19008
F1438#F10815,       6609,       5731,     12340,            0,       19056
F1438#F10760,       6652,       5782,     12435,            0,       19104
F1438#F11133,       6600,       5792,     12392,            0,       19152
F1438#F10557,       6715,       5812,     12528,            0,       19200
F1438#F10163,       6634,       6030,     12665,            0,       19248
F1438#F10570,       6736,       5901,     12638,            0,       19296
