keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F16238,169,61,0,233,0,360,10,37
F19998#F16235,75,54,0,130,0,360,10,38
F19998#F16214,74,52,0,128,0,360,10,39
F19998#F16208,62,47,0,110,0,360,10,40
F19998#F16184,66,50,0,116,0,360,10,41
F19998#F16130,78,73,0,152,0,360,10,42
F19998#F16090,76,54,0,132,0,360,10,43
F19998#F16023,68,54,0,124,0,360,10,44
F19998#F15924,65,43,0,108,0,360,10,45
F19998#F15885,101,48,0,150,0,360,10,46
F19998#F15849,60,45,0,106,0,360,10,47
F19998#F15747,64,44,0,110,0,360,10,48
F19998#F15700,59,56,0,117,0,360,10,49
F19998#F15569,68,108,0,177,0,360,10,50
F19998#F15547,63,43,0,108,0,360,10,51
F19998#F15477,76,40,0,118,0,360,10,52
F19998#F15415,60,44,0,106,0,360,10,53
F19998#F15343,56,92,0,149,0,360,10,54
F19998#F15199,58,41,0,100,0,360,10,55
F19998#F15114,55,41,0,97,0,360,10,56
F19998#F15029,57,36,0,94,0,360,10,57
F19998#F15003,62,96,0,159,0,360,10,58
F19998#F14877,55,90,0,146,0,360,10,59
F19998#F14805,58,80,0,140,0,360,10,60
F19998#F14736,55,40,0,96,0,360,10,61
F19998#F14645,92,40,0,133,0,360,10,62
F19998#F14621,55,40,0,97,0,360,10,63
F19998#F14498,56,46,0,103,0,360,10,64
F19998#F14396,56,47,0,104,0,360,10,65
F19998#F14377,59,45,0,105,0,360,10,66
F19998#F14270,72,40,0,113,0,360,10,67
F19998#F14173,58,42,0,101,0,360,10,68
F19998#F14061,56,56,0,113,0,360,10,69
F19998#F13990,73,40,0,115,0,360,10,70
F19998#F13973,88,44,0,133,0,360,10,71
F19998#F13834,57,44,0,102,0,360,10,72
F19998#F13757,55,90,0,146,0,360,10,73
F19998#F13740,58,95,0,154,0,360,10,74
F19998#F13640,57,69,0,127,0,360,10,75
F19998#F13574,59,38,0,99,0,360,10,76
F19998#F13494,62,48,0,112,0,360,10,77
F19998#F13434,56,39,0,96,0,360,10,78
F19998#F13361,60,41,0,102,0,360,10,79
F19998#F13313,55,40,0,96,0,360,10,80
F19998#F13182,54,43,0,99,0,360,10,81
F19998#F13093,59,38,0,99,0,360,10,82
F19998#F13082,55,38,0,95,0,360,10,83
F19998#F13005,53,90,0,144,0,360,10,84
F19998#F12930,67,39,0,106,0,360,10,85
F19998#F12893,59,91,0,151,0,360,10,86
F19998#F12810,59,48,0,109,0,360,10,87
F19998#F12745,64,43,0,109,0,360,10,88
F19998#F12626,55,91,0,147,0,360,10,89
F19998#F12547,61,42,0,104,0,360,10,90
F19998#F12523,59,43,0,103,0,360,10,91
F19998#F12401,58,50,0,109,0,360,10,92
