keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F8157,50,38,0,89,0,360,10,168
F19998#F8081,50,81,0,132,0,360,10,169
F19998#F8066,56,40,0,97,0,360,10,170
F19998#F8026,54,40,0,95,0,360,10,171
F19998#F7966,47,35,0,83,0,360,10,172
F19998#F7911,92,49,0,142,0,360,10,173
F19998#F7888,46,40,0,88,0,360,10,174
F19998#F7847,56,88,0,146,0,360,10,175
F19998#F7811,60,43,0,104,0,360,10,176
F19998#F7747,48,87,0,136,0,360,10,177
F19998#F7737,50,41,0,93,0,360,10,178
F19998#F7681,53,88,0,142,0,360,10,179
F19998#F7667,49,85,0,135,0,360,10,180
F19998#F7595,53,34,0,88,0,360,10,181
F19998#F7556,52,39,0,93,0,360,10,182
F19998#F7515,50,37,0,87,0,360,10,183
F19998#F7474,50,40,0,91,0,360,10,184
F19998#F7446,52,39,0,92,0,360,10,185
F19998#F7393,70,83,0,154,0,360,10,186
F19998#F7352,52,38,0,91,0,360,10,187
F19998#F7344,59,41,0,101,0,360,10,188
F19998#F7302,168,93,0,265,0,360,10,189
F19998#F7261,127,61,0,189,0,360,10,190
F19998#F7230,69,57,0,127,0,360,10,191
F19998#F7189,66,46,0,114,0,360,10,192
F19998#F7172,93,48,0,142,0,360,10,193
F19998#F7136,57,79,0,137,0,360,10,194
F19998#F7074,69,50,0,121,0,360,10,195
F19998#F7021,59,48,0,108,0,360,10,196
F19998#F7007,100,49,0,151,0,360,10,197
F19998#F6947,61,42,0,104,0,360,10,198
F19998#F6930,62,47,0,110,0,360,10,199
F19998#F6882,65,39,0,104,0,360,10,200
F19998#F6853,55,90,0,147,0,360,10,201
F19998#F6826,53,43,0,97,0,360,10,202
F19998#F6766,48,44,0,93,0,360,10,203
F19998#F6717,50,83,0,134,0,360,10,204
F19998#F6701,54,53,0,108,0,360,10,205
F19998#F6657,53,41,0,95,0,360,10,206
F19998#F6623,54,43,0,99,0,360,10,207
F19998#F6588,60,43,0,104,0,360,10,208
F19998#F6550,60,41,0,103,0,360,10,209
F19998#F6510,59,47,0,107,0,360,10,210
F19998#F6480,55,39,0,95,0,360,10,211
