keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize ,w1
F0#F7   ,       189 ,        82 ,      273 ,           0 ,        400 ,      10
F0#F1   ,       159 ,        71 ,      236 ,           0 ,        400 ,      10
F0#F2   ,       107 ,        82 ,      192 ,           0 ,        400 ,      10
F0#F3   ,        80 ,        71 ,      153 ,           0 ,        400 ,      10
F0#F4   ,       153 ,        75 ,      230 ,           1 ,        400 ,      10
F0#F5   ,        74 ,        90 ,      165 ,           1 ,        400 ,      10
F0#F6   ,        60 ,        83 ,      144 ,           4 ,        400 ,      10
F1#F6   ,       333 ,       199 ,      534 ,          52 ,       4000 ,     100
F2#F6   ,      1620 ,       836 ,     2460 ,         524 ,      40000 ,    1000
F3#F6   ,     14800 ,      7286 ,    22099 ,        4997 ,     400000 ,   10000
F4#F6   ,    149257 ,     74463 ,   223850 ,       50116 ,    4000000 ,  100000
F5#F6   ,   1555169 ,    802360 ,  2357573 ,      505568 ,   40000000 , 1000000
F13#F6  ,   2111169 ,   1212803 ,  3324389 ,      505016 ,   40000000 ,10000000
