keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize ,w1
F0#F7   ,       416 ,       130 ,      548 ,           0 ,        400 ,      10
F0#F1   ,       242 ,       127 ,      371 ,           0 ,        400 ,      10
F0#F2   ,       356 ,        64 ,      421 ,           0 ,        400 ,      10
F0#F3   ,       321 ,        56 ,      378 ,           0 ,        400 ,      10
F0#F4   ,       349 ,        57 ,      407 ,           0 ,        400 ,      10
F0#F5   ,       367 ,        55 ,      423 ,           1 ,        400 ,      10
F0#F6   ,       192 ,        53 ,      247 ,           4 ,        400 ,      10
F1#F6   ,      2093 ,       229 ,     2324 ,          53 ,       4000 ,     100
F2#F6   ,     16993 ,      1167 ,    18164 ,         523 ,      40000 ,    1000
F3#F6   ,    168526 ,      7456 ,   175997 ,        5011 ,     400000 ,   10000
F4#F6   ,   1672069 ,     73544 ,  1745749 ,       50146 ,    4000000 ,  100000
F5#F6   ,  17577367 ,    755699 , 18333085 ,      505809 ,   40000000 , 1000000
F13#F6  ,  18284798 ,    778016 , 19064137 ,      505223 ,   40000000 ,10000000
