keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize ,w1
F0#F7   ,       350 ,       203 ,      559 ,           0 ,        400 ,      10
F0#F1   ,       166 ,       133 ,      300 ,           0 ,        400 ,      10
F0#F2   ,       168 ,       132 ,      301 ,           0 ,        400 ,      10
F0#F3   ,       156 ,       135 ,      291 ,           0 ,        400 ,      10
F0#F4   ,       159 ,       131 ,      290 ,           0 ,        400 ,      10
F0#F5   ,       160 ,       132 ,      293 ,           1 ,        400 ,      10
F0#F6   ,       162 ,       132 ,      295 ,           4 ,        400 ,      10
F1#F6   ,      1599 ,      1376 ,     2976 ,          52 ,       4000 ,     100
F2#F6   ,     15973 ,     13737 ,    29712 ,         522 ,      40000 ,    1000
F3#F6   ,    159819 ,    138736 ,   298556 ,        4972 ,     400000 ,   10000
F4#F6   ,   1724227 ,   1401238 ,  3125473 ,       49821 ,    4000000 ,  100000
F5#F6   ,  18321556 ,  14711486 , 33034266 ,      502794 ,   40000000 , 1000000
F13#F6  ,  16668721 ,  14538415 , 31207168 ,      502114 ,   40000000 ,10000000
