keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,        59 ,        15 ,       77 ,           0 ,       1120
F0#F1   ,        43 ,         9 ,       53 ,           0 ,       1120
F0#F2   ,        49 ,        11 ,       62 ,           0 ,       1120
F0#F3   ,        41 ,        10 ,       52 ,           0 ,       1120
F0#F4   ,        41 ,        11 ,       53 ,           0 ,       1120
F0#F5   ,        41 ,        10 ,       51 ,           1 ,       1128
F0#F6   ,        41 ,        10 ,       52 ,           4 ,       1152
F1#F6   ,       427 ,       128 ,      556 ,          52 ,      11591
F2#F6   ,      4160 ,      1325 ,     5491 ,         520 ,     115863
F3#F6   ,     41938 ,     13365 ,    55364 ,        4947 ,    1156835
F4#F6   ,    397595 ,    118217 ,   516562 ,       49557 ,   11569011
F5#F6   ,   3669951 ,    955835 ,  4632990 ,      500181 ,  115723604
F13#F6  ,  37433106 ,   9873946 , 47376544 ,     4999732 , 1157218663
