keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,        38 ,        13 ,       55 ,           0 ,       1120
F0#F1   ,        30 ,         9 ,       41 ,           0 ,       1120
F0#F2   ,        26 ,        10 ,       38 ,           0 ,       1120
F0#F3   ,        27 ,         8 ,       38 ,           0 ,       1120
F0#F4   ,        24 ,         7 ,       33 ,           0 ,       1120
F0#F5   ,        24 ,         7 ,       33 ,           1 ,       1128
F0#F6   ,        26 ,         8 ,       36 ,           4 ,       1152
F1#F6   ,       244 ,       108 ,      354 ,          52 ,      11591
F2#F6   ,      2245 ,      1032 ,     3285 ,         520 ,     115863
F3#F6   ,     22658 ,     10768 ,    33487 ,        4947 ,    1156835
F4#F6   ,    237263 ,    109697 ,   347721 ,       49557 ,   11569011
F5#F6   ,   2189655 ,   1052779 ,  3249615 ,      500181 ,  115723604
F13#F6  ,  24423373 ,  10410045 , 34901212 ,     4999732 , 1157218663
