keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,        34 ,        13 ,       49 ,           0 ,        920
F0#F1   ,        20 ,         7 ,       28 ,           0 ,        920
F0#F2   ,        22 ,         7 ,       30 ,           0 ,        920
F0#F3   ,        19 ,         6 ,       27 ,           0 ,        920
F0#F4   ,        23 ,         6 ,       30 ,           0 ,        920
F0#F5   ,        18 ,         6 ,       25 ,           1 ,        928
F0#F6   ,        19 ,         6 ,       26 ,           4 ,        952
F1#F6   ,       194 ,        87 ,      283 ,          52 ,       9591
F2#F6   ,      1828 ,       808 ,     2641 ,         520 ,      95863
F3#F6   ,     18073 ,      7539 ,    25678 ,        4947 ,     956835
F4#F6   ,    183936 ,     72796 ,   257514 ,       49557 ,    9569011
F5#F6   ,   1834586 ,    733916 ,  2575231 ,      500181 ,   95723604
F13#F6  ,  24069266 ,   9198920 , 33333586 ,     4999732 ,  957218663
