KeywordCount, Counter, Storage(Bytes)
241,10082,6658.07808
242,10126,6685.70496
243,10170,6713.33184
244,10214,6740.95872
245,10258,6768.5856
246,10302,6796.21248
247,10346,6823.83936
248,10390,6851.46624
249,10434,6879.0931199999995
250,10478,6906.72
251,10522,6934.34688
252,10566,6961.97376
253,10610,6989.60064
254,10654,7017.22752
255,10698,7044.8544
256,10742,7072.48128
257,10786,7100.10816
258,10830,7127.73504
259,10874,7155.36192
260,10918,7182.9888
261,10963,7338.902399999999
262,11008,7367.020799999999
263,11053,7395.1392
264,11098,7423.257599999999
265,11143,7451.375999999999
266,11188,7479.4944
267,11233,7507.612799999999
268,11278,7535.731199999999
269,11323,7563.8496
270,11368,7591.967999999999
271,11413,7620.086399999999
272,11458,7648.2047999999995
273,11503,7676.323199999999
274,11548,7704.441599999999
275,11593,7732.5599999999995
276,11638,7760.6784
277,11683,7788.796799999999
278,11728,7816.9151999999995
279,11773,7845.0336
280,11818,7873.151999999999
281,11863,7901.270399999999
282,11908,7929.3888
283,11953,7957.507199999999
284,11998,7985.625599999999
285,12043,8013.744
286,12088,8041.862399999999
287,12133,8069.980799999999
288,12178,8098.0992
289,12223,8126.217599999999
290,12268,8154.335999999999
291,12313,8182.4544
292,12358,8210.572799999998
293,12403,8238.6912
294,12448,8266.8096
295,12493,8294.928
296,12538,8323.0464
297,12583,8351.164799999999
298,12628,8379.283199999998
299,12673,8407.4016
300,12718,8435.52
301,12763,8463.6384
302,12808,8491.7568
303,12853,8519.875199999999
304,12898,8547.993599999998
305,12943,8576.112
306,12988,8604.2304
307,13033,8632.3488
308,13078,8660.4672
309,13123,8688.585599999999
310,13168,8716.703999999998
311,13213,8744.8224
312,13258,8772.9408
313,13303,8801.0592
314,13348,8829.177599999999
315,13393,8857.295999999998
316,13438,8885.4144
317,13483,8913.532799999999
318,13528,8941.6512
319,13573,8969.7696
320,13618,8997.887999999999
321,13663,9026.006399999998
322,13708,9054.1248
323,13753,9082.243199999999
324,13798,9110.3616
325,13843,9138.48
326,13888,9166.598399999999
327,13934,9355.44384
328,13980,9384.053759999999
329,14026,9412.66368
330,14072,9441.2736
331,14118,9469.88352
332,14164,9498.493439999998
333,14210,9527.103360000001
334,14256,9555.71328
335,14302,9584.323199999999
336,14348,9612.93312
337,14394,9641.54304
338,14440,9670.15296
339,14486,9698.762879999998
340,14532,9727.3728
341,14578,9755.98272
342,14624,9784.592639999999
343,14670,9813.20256
344,14716,9841.81248
345,14762,9870.4224
346,14808,9899.032319999998
347,14854,9927.64224
348,14900,9956.25216
349,14946,9984.862079999999
350,14992,10013.472
351,15038,10042.08192
352,15084,10070.69184
353,15130,10099.301759999998
354,15176,10127.91168
355,15222,10156.5216
356,15268,10185.131519999999
357,15314,10213.74144
358,15360,10242.35136
359,15406,10270.96128
360,15452,10299.571199999998
361,15498,10328.18112
362,15544,10356.79104
363,15590,10385.400959999999
364,15636,10414.01088
365,15682,10442.620799999999
366,15728,10471.23072
367,15774,10499.84064
368,15820,10528.45056
369,15866,10557.06048
370,15912,10585.670399999999
371,15958,10614.28032
372,16004,10642.890239999999
373,16050,10671.50016
374,16096,10700.11008
375,16142,10728.72
376,16188,10757.32992
377,16234,10785.93984
378,16280,10814.54976
379,16326,10843.159679999999
380,16372,10871.7696
381,16418,10900.37952
382,16464,10928.98944
383,16510,10957.59936
384,16556,10986.20928
385,16602,11014.8192
386,16648,11043.429119999999
387,16695,11262.25728
