keyword,clientSearchTime,serverTime,resultLength
F24246#F35798,856.277µs,533.202µs,1
F26058#F38169,2.868446ms,1.312668ms,2
F457#F15241,6.427594ms,6.71116ms,0
F15114#F15114,798.389µs,488.91µs,0
F37132#F62283,690.47µs,523.974µs,0
F2958#F6934,5.341315ms,3.252926ms,1
F29629#F50883,1.9567ms,1.446825ms,1
F49058#F49058,1.0999ms,661.741µs,0
F2458#F2458,2.267218ms,1.223154ms,0
F36254#F43672,2.158903ms,1.771941ms,1
F11896#F44969,1.639381ms,1.228898ms,0
F3909#F59272,687.497µs,674.447µs,0
F27576#F27576,1.784341ms,1.006638ms,0
F2999#F20262,3.202726ms,1.887686ms,2
F8525#F26798,1.365204ms,1.028134ms,1
F41500#F41500,745.623µs,458.404µs,0
F49195#F46528,1.049084ms,817.364µs,0
F26843#F46242,1.32886ms,781.507µs,0
F28826#F28826,2.512933ms,1.717054ms,0
F42223#F42223,1.81966ms,1.141371ms,0
F10183#F59310,804.001µs,664.725µs,0
F60824#F56307,747.372µs,491.673µs,0
F39720#F52890,1.955832ms,1.276282ms,0
F24437#F24437,1.491606ms,1.089491ms,0
F24688#F24688,1.421907ms,1.068527ms,0
F17480#F62906,677.287µs,435.533µs,1
F22593#F38594,2.720701ms,1.66543ms,3
F1642#F61189,735.899µs,423.395µs,1
F24171#F24171,2.133269ms,1.414842ms,0
F27483#F27483,732µs,476.436µs,0
F3771#F3771,2.042645ms,1.439786ms,0
F35783#F35783,731.892µs,484.388µs,0
F29543#F44082,4.127542ms,1.203359ms,0
F23162#F23162,741.299µs,488.509µs,0
F16730#F16730,2.069147ms,1.225041ms,0
F32167#F48740,922.146µs,752.075µs,0
F25311#F25311,1.248733ms,706.896µs,0
F17021#F29910,1.974864ms,1.368222ms,0
F11017#F51717,2.416006ms,1.552041ms,0
F11576#F11576,1.96317ms,1.488757ms,0
F4854#F48290,1.053825ms,914.465µs,1
F3496#F62535,836.234µs,455.468µs,1
F49861#F49861,659.976µs,457.147µs,0
F52209#F58202,904.972µs,718.254µs,0
F54382#F54382,686.292µs,433.595µs,0
F55988#F55988,1.482269ms,1.015578ms,0
F12617#F35280,724.878µs,599.361µs,0
F754#F40813,1.557508ms,1.053377ms,1
F11570#F11570,740.395µs,437.804µs,0
F45533#F45533,1.606039ms,1.078533ms,0
F53614#F53614,720.4µs,450.703µs,0
F4508#F4508,3.818235ms,2.265602ms,0
F4272#F4272,1.142334ms,602.234µs,0
F1529#F1529,4.35561ms,2.407651ms,0
F4772#F4772,1.789545ms,1.550976ms,0
F60584#F60584,753.958µs,473.127µs,0
F54528#F39519,1.183941ms,1.013605ms,1
F21754#F21754,745.574µs,459.981µs,0
F62817#F62817,712.575µs,527.534µs,0
F43115#F43115,1.076038ms,899.194µs,0
F962#F962,1.266432ms,740.354µs,0
F25032#F25032,3.071183ms,2.033158ms,0
F28213#F39050,1.693689ms,1.282514ms,0
F14611#F59055,883.929µs,490.564µs,1
F8419#F8419,973.092µs,962.173µs,0
F2758#F30923,958.509µs,701.894µs,0
F52551#F61696,741.723µs,520.085µs,0
F16044#F20392,2.85591ms,1.748953ms,2
F38847#F38847,842.102µs,702.285µs,0
F34921#F34921,1.527918ms,980.743µs,0
F10420#F27963,1.828448ms,1.143601ms,1
F6436#F4970,6.033746ms,1.549736ms,0
F10415#F10415,2.2027ms,1.863896ms,0
F6340#F6340,1.564251ms,1.109812ms,0
F32236#F32236,742.282µs,444.74µs,0
F21747#F31730,1.583791ms,827.227µs,0
F4815#F15632,4.445856ms,2.662414ms,2
F10317#F37978,1.225378ms,1.17574ms,0
F42236#F42236,1.302289ms,708.934µs,0
F44397#F34211,1.764973ms,1.637294ms,2
F16405#F16405,2.00977ms,1.499616ms,0
F25274#F42129,1.951778ms,1.334999ms,1
F17051#F17051,736.91µs,445.25µs,0
F11521#F11840,2.476723ms,1.714537ms,1
F27526#F27526,720.762µs,496.893µs,0
F1598#F4877,4.329263ms,2.665892ms,1
F31375#F31375,755.266µs,436.762µs,0
F28558#F62327,673.149µs,531.164µs,1
F47324#F25660,658.086µs,435.712µs,0
F34567#F34567,830.727µs,607.25µs,0
F4755#F11840,2.1496ms,1.691355ms,1
F22473#F22473,1.916884ms,957.752µs,0
F23605#F23605,1.335667ms,982.128µs,0
F24824#F24824,1.074224ms,820.865µs,0
F13852#F13852,3.009603ms,2.002491ms,0
F23571#F23571,1.205045ms,792.378µs,0
F22566#F22566,1.341359ms,1.138269ms,0
F39751#F25312,982.7µs,848.051µs,0
F13664#F5675,8.409076ms,2.078167ms,1
F23244#F52991,1.14794ms,1.01388ms,0
F45471#F45471,1.475245ms,832.609µs,0
F48765#F48765,1.754054ms,1.016401ms,0
F20917#F20917,2.629015ms,2.024257ms,0
F15548#F36720,1.335085ms,860.85µs,2
F7466#F7466,4.105534ms,2.53519ms,0
F9303#F9303,758.642µs,438.401µs,0
F22294#F45407,1.873585ms,1.418788ms,0
F25994#F61924,735.581µs,495.217µs,1
F11538#F30424,2.716068ms,1.874789ms,1
F789#F13260,2.965166ms,2.223462ms,0
F24504#F22388,1.348928ms,1.017571ms,2
F8043#F21441,2.487512ms,1.722881ms,3
F24055#F56142,740.818µs,427.016µs,1
F5112#F5112,3.708435ms,2.347793ms,0
F30423#F30423,756.669µs,442.3µs,0
F13929#F29974,1.291482ms,901.057µs,2
F2164#F27095,2.232735ms,1.447587ms,1
F24699#F40274,2.186087ms,1.223107ms,1
F8338#F15187,6.220089ms,3.530606ms,1
F13683#F22982,3.969286ms,1.942498ms,1
F51541#F51541,879.334µs,892.635µs,0
F4575#F4575,1.704618ms,703.516µs,0
F29439#F29439,778.74µs,444.321µs,0
F1510#F1510,2.225722ms,1.365454ms,0
F28386#F56126,1.167345ms,826.589µs,0
F1750#F1750,2.681495ms,1.461893ms,0
F45288#F56532,1.552569ms,1.365041ms,2
F61245#F62464,727.358µs,488.263µs,0
F2676#F58562,1.234178ms,807.78µs,0
F8148#F48172,1.018743ms,824.588µs,0
F39375#F39375,2.051813ms,1.161145ms,0
F33296#F33296,939.548µs,704.139µs,0
F1621#F1621,736.97µs,482.442µs,0
F10589#F40937,1.895624ms,1.41457ms,0
F30450#F33264,758.737µs,431.986µs,0
F9094#F23375,3.335637ms,2.269619ms,0
F21911#F63172,744.523µs,499.023µs,1
F2273#F25824,3.066415ms,2.026814ms,0
F19773#F48342,1.559965ms,1.17292ms,2
F37346#F56351,848.391µs,219.201µs,0
F44212#F44212,213.356µs,500.336µs,0
F7691#F7691,672.104µs,521.127µs,0
F57524#F25531,688.456µs,495.338µs,1
F15195#F26748,2.134201ms,1.736811ms,0
F56319#F63656,720.133µs,514.547µs,0
F12800#F33265,662.43µs,492.096µs,1
F3709#F44661,2.244165ms,1.26599ms,0
F10361#F10361,1.346264ms,1.18918ms,0
F20555#F44086,1.094953ms,877.318µs,2
F24754#F23172,2.868656ms,2.054676ms,1
F6509#F6860,4.025433ms,2.458974ms,1
F16393#F21911,2.931446ms,1.616668ms,1
F6806#F27085,1.071505ms,875.942µs,0
F13665#F51673,673.618µs,447.377µs,0
F12114#F12114,1.770822ms,1.215547ms,0
F35589#F61753,760.313µs,434.578µs,1
F17478#F10040,4.356684ms,2.363823ms,0
F26052#F29467,2.207785ms,1.548578ms,0
F10826#F19437,1.953637ms,1.360988ms,1
F13629#F35017,867.223µs,924.126µs,0
F16127#F43345,2.109521ms,1.408652ms,0
F5070#F5679,2.890198ms,2.079ms,1
F50366#F50366,1.303587ms,1.133703ms,0
F7948#F24551,3.079508ms,2.100117ms,0
F37278#F63265,825.879µs,503.19µs,0
F19402#F19402,1.555766ms,1.278968ms,0
F37053#F37053,1.085122ms,816.131µs,0
F5455#F5455,2.923462ms,2.010621ms,0
F11950#F48635,1.753784ms,1.296395ms,2
F17557#F35400,817.268µs,604.39µs,0
F1287#F19050,3.524629ms,2.097898ms,1
F7696#F41610,1.176715ms,900.099µs,1
F2744#F2744,3.642688ms,1.936956ms,0
F8106#F15384,5.291146ms,2.314041ms,0
F19821#F58465,734.115µs,431.433µs,0
F10407#F48016,1.804232ms,1.209735ms,0
F14712#F41813,1.531499ms,1.069109ms,0
F41270#F57368,1.627752ms,931.547µs,1
F29640#F29640,1.445939ms,1.059104ms,0
F50137#F50137,1.474673ms,1.074062ms,0
F17556#F17556,735.038µs,498.984µs,0
F19703#F19703,3.626536ms,2.607408ms,0
F9077#F9077,2.514565ms,1.89787ms,0
F29139#F29139,739.742µs,434.456µs,0
F13457#F13457,2.91722ms,1.894057ms,0
F45072#F45072,821.857µs,488.522µs,0
F3376#F28728,2.962063ms,1.731874ms,1
F18419#F40682,1.644081ms,1.478337ms,2
F53724#F53724,741.394µs,432.557µs,0
F16612#F16612,1.094945ms,699.028µs,0
F15169#F15169,852.03µs,801.625µs,0
F59645#F59645,782.539µs,498.101µs,0
F26207#F62660,871.859µs,448.534µs,1
F53294#F45563,1.340277ms,818.047µs,1
F2256#F2256,2.706559ms,1.9504ms,0
F5292#F32116,748.403µs,428.355µs,1
F43606#F28999,1.597605ms,1.080897ms,1
F30826#F30826,770.869µs,479.954µs,0
F17146#F17146,1.539744ms,1.042968ms,0
F1589#F1589,2.085833ms,1.371867ms,0
F2723#F38030,2.324684ms,1.762474ms,0
F13810#F13810,968.772µs,791.06µs,0
F42158#F32772,727.46µs,423.924µs,0
F737#F737,2.047524ms,1.223828ms,0
F62624#F62624,735.637µs,435.199µs,0
F16795#F16795,2.394692ms,1.906771ms,0
F14461#F37121,2.346223ms,1.608827ms,1
F20991#F20991,1.704515ms,1.300696ms,0
F11269#F11269,808.648µs,513.588µs,0
F27158#F35900,928.837µs,929.125µs,0
F6702#F40719,2.19927ms,1.478078ms,0
F8576#F29016,2.294764ms,1.590001ms,1
F18181#F53998,737.6µs,492.895µs,1
F60433#F60433,1.286638ms,861.728µs,0
F5654#F5654,5.332047ms,1.579619ms,0
F44970#F44970,860.092µs,700.956µs,0
F4495#F4495,1.773103ms,1.370043ms,0
F8783#F60477,1.326992ms,592.16µs,0
F12803#F31530,2.801989ms,2.023379ms,1
F11466#F14017,1.405291ms,1.225496ms,0
F15444#F2216,4.059952ms,2.392165ms,0
F16772#F16772,739.802µs,538.185µs,0
F39635#F62485,672.191µs,501.73µs,1
F9223#F49033,2.325236ms,1.410031ms,0
F1686#F61899,765.365µs,454.633µs,1
F50526#F50526,905.031µs,814.929µs,0
F23598#F23598,1.630888ms,1.385036ms,0
F3368#F3368,766.132µs,528.321µs,0
F21303#F44300,1.37963ms,877.567µs,0
F14005#F14005,999.036µs,900.119µs,0
F8853#F60112,783.756µs,429.457µs,1
F24129#F24129,2.251113ms,1.304043ms,0
F31427#F30798,2.506142ms,1.275081ms,0
F14422#F14422,739.338µs,462.531µs,0
F7704#F7704,1.53951ms,1.128508ms,0
F450#F450,5.121857ms,3.235201ms,0
F31000#F31000,771.073µs,501.118µs,0
F32044#F32044,923.783µs,620.313µs,0
F18963#F18963,1.58027ms,1.028916ms,0
F13581#F13581,804.006µs,605.839µs,0
F23283#F7907,3.275694ms,4.644438ms,0
F27143#F27143,3.254585ms,604.871µs,0
F36578#F40079,1.104153ms,712.158µs,1
F3966#F47815,1.263531ms,749.099µs,0
F30032#F30032,1.558946ms,1.141969ms,0
F12721#F12721,1.337466ms,989.679µs,0
F28604#F28604,1.126707ms,819.053µs,0
F1456#F10582,2.356798ms,1.568038ms,2
F11889#F56019,1.027454ms,906.934µs,1
F41183#F41183,1.503549ms,1.046742ms,0
F14238#F54529,1.657541ms,920.09µs,2
F18505#F40211,1.651353ms,1.089913ms,1
F896#F41443,789.564µs,706.299µs,0
F22473#F22473,675.275µs,487.94µs,0
F42255#F26583,834.211µs,617.29µs,0
F18070#F18070,2.043985ms,1.172247ms,0
F45491#F47597,951.696µs,379.458µs,2
F19463#F19463,814.276µs,668.452µs,0
F2716#F40630,1.887214ms,1.479629ms,0
F6428#F45092,1.659135ms,1.33425ms,0
F37232#F37232,731.42µs,483.819µs,0
F9448#F9448,1.758636ms,994.539µs,0
F44278#F51755,1.374249ms,782.743µs,0
F14968#F8172,3.259956ms,1.989641ms,0
F48416#F17827,1.696967ms,1.371415ms,0
F26533#F26533,850.758µs,509.775µs,0
F5960#F36393,1.683592ms,912.915µs,1
F6811#F6811,2.009271ms,1.351901ms,0
F31143#F31143,796.723µs,623.62µs,0
F59179#F59179,1.050301ms,610.624µs,0
F25579#F25579,875.696µs,469.847µs,0
F12342#F12342,1.913662ms,1.421366ms,0
F15411#F15411,2.885432ms,1.987115ms,0
F3258#F41479,1.898513ms,1.540792ms,1
F4842#F4842,2.601578ms,2.093958ms,0
F38369#F38369,1.801526ms,1.262619ms,0
F2176#F60523,752.564µs,426.615µs,1
F12239#F40834,2.728453ms,1.70988ms,0
F21801#F21801,2.081565ms,1.428843ms,0
F19712#F19712,1.731003ms,1.303946ms,0
F1658#F1658,1.278458ms,1.060444ms,0
F16336#F16336,6.784723ms,2.294984ms,0
F35298#F25575,732.159µs,495.856µs,0
F3005#F3005,3.780517ms,2.070945ms,0
F22586#F22586,1.879112ms,1.49622ms,0
F475#F25417,2.697245ms,1.88663ms,0
F8573#F8573,3.510646ms,1.982397ms,0
F57640#F57640,848.461µs,763.155µs,0
F25417#F53408,827.454µs,898.025µs,0
F13862#F25353,2.994176ms,2.045004ms,5
F62385#F62385,798.81µs,518.159µs,0
F12816#F32904,667.046µs,493.297µs,1
F20688#F20688,1.579115ms,1.278342ms,0
F46029#F46029,919.493µs,895.151µs,0
F27376#F55535,948.947µs,686.132µs,0
F6902#F6902,3.959549ms,2.339875ms,0
F12751#F50340,1.015379ms,695.225µs,0
F48110#F48110,1.508581ms,946.358µs,0
F5823#F5823,1.7703ms,1.268165ms,0
F52297#F21093,773.5µs,452.528µs,1
F11693#F42785,1.482807ms,901.153µs,0
F17070#F53264,729.869µs,440.577µs,0
F19898#F53902,1.376016ms,986.611µs,0
F62133#F62133,731.99µs,430.348µs,0
F31249#F18437,1.000498ms,676.219µs,0
F51367#F51367,737.548µs,498.076µs,0
F6746#F39505,2.697596ms,1.413958ms,2
F6696#F56346,744.186µs,473.34µs,1
F42504#F42504,992.799µs,566.772µs,0
F23409#F44655,1.894483ms,1.5475ms,0
F25997#F32144,779.239µs,504.966µs,1
F20417#F20417,2.388427ms,1.531829ms,0
F55543#F21214,815.169µs,502.553µs,0
F16108#F16108,2.047191ms,1.392558ms,0
F39471#F17491,826.504µs,495.042µs,1
F16095#F29439,4.396767ms,1.455318ms,1
F9738#F9738,779.073µs,444.418µs,0
F34087#F60292,1.653596ms,1.078688ms,1
F13702#F33652,747.297µs,494.477µs,1
F41836#F41836,1.027306ms,560.004µs,0
F49019#F35865,775.138µs,492.096µs,0
F24914#F24914,664.26µs,454.127µs,0
F28266#F28266,1.533069ms,1.13712ms,0
F14971#F38271,1.944537ms,1.587478ms,0
F1107#F1107,2.833411ms,2.075521ms,0
F10996#F10996,1.139585ms,832.933µs,0
F42984#F42984,738.792µs,428.624µs,0
F934#F52141,723.52µs,437.318µs,1
F38436#F34919,967.917µs,611.397µs,0
F22626#F56762,1.297174ms,931.59µs,1
F37646#F57185,937.957µs,769.486µs,0
F47941#F47941,679.024µs,502.452µs,0
F41520#F35895,798.43µs,438.857µs,1
F6186#F35185,1.758637ms,1.005012ms,0
F1276#F1276,677.81µs,492.582µs,0
F14298#F45986,1.432165ms,980.59µs,0
F1579#F1579,1.113965ms,787.761µs,0
F19084#F19084,1.927615ms,1.139764ms,0
F31554#F31554,732.901µs,694.898µs,0
F62913#F62913,781.75µs,501.646µs,0
F711#F42708,2.360417ms,1.640813ms,1
F55589#F55589,728.419µs,436.123µs,0
F51295#F51295,785.469µs,500.827µs,0
F2100#F2100,3.114001ms,1.748084ms,0
F30998#F48053,1.360049ms,1.01829ms,3
F15726#F9675,2.239766ms,1.485212ms,1
F54383#F54612,935.531µs,605.021µs,0
F46492#F46492,971.705µs,1.005801ms,0
F7295#F7295,2.292488ms,1.601829ms,0
F51737#F41293,977.897µs,720.838µs,0
F10537#F57251,806.204µs,750.281µs,0
F28161#F31599,1.303057ms,1.092124ms,0
F37815#F37815,721.567µs,706.003µs,0
F5457#F37649,2.175794ms,1.572373ms,0
F17475#F4147,3.009983ms,2.380902ms,0
F47126#F47126,1.142859ms,982.507µs,0
F11246#F25643,2.229515ms,1.487546ms,1
F5533#F5533,795.368µs,785.827µs,0
F24252#F24252,1.399265ms,1.095768ms,0
F7193#F62886,875.655µs,483.204µs,1
F10212#F10212,2.315199ms,1.557534ms,0
F16876#F16876,756.762µs,495.987µs,0
F9471#F27801,672.236µs,502.268µs,1
F21617#F43450,4.977563ms,1.398798ms,0
F17757#F17757,3.31346ms,2.097412ms,0
F3026#F3026,757.92µs,442.657µs,0
F5777#F5777,1.981458ms,1.565987ms,0
F6385#F21954,1.598199ms,1.100033ms,1
F18160#F13802,2.232793ms,1.881366ms,0
F4204#F4204,1.141044ms,903.205µs,0
F13303#F24313,2.037101ms,1.467687ms,0
F45421#F45421,721.234µs,489.16µs,0
F28045#F28045,672.164µs,476.49µs,0
F44119#F49658,1.377452ms,919.186µs,1
F2805#F48616,731.443µs,524.713µs,0
F24628#F55094,2.085486ms,1.264685ms,1
F4612#F4612,1.386635ms,960.859µs,0
F26362#F40509,1.132221ms,674.496µs,0
F6797#F6797,2.579867ms,1.999557ms,0
F45357#F45357,1.939765ms,1.402274ms,0
F27623#F34203,1.353433ms,1.211349ms,3
F30191#F30191,1.32096ms,1.205893ms,0
F52401#F15236,738.372µs,487.951µs,1
F29981#F29981,1.315163ms,1.058235ms,0
F44747#F44747,738.291µs,491.701µs,0
F3721#F3721,3.405169ms,2.503124ms,0
F28598#F28598,759.796µs,436.48µs,0
F2565#F20254,2.800233ms,1.644652ms,1
F38587#F38587,800.279µs,943.565µs,0
F16861#F16861,3.157194ms,2.078296ms,0
F39644#F39644,1.701014ms,1.383721ms,0
F28978#F57938,908.858µs,746.748µs,0
F18992#F36401,2.818751ms,2.167293ms,0
F23513#F23513,1.739618ms,1.346008ms,0
F14577#F14577,2.615643ms,2.002632ms,0
F9263#F20572,4.001553ms,1.665475ms,1
F20099#F42009,2.227854ms,1.724345ms,0
F25958#F30289,1.877376ms,1.491618ms,1
F44588#F61422,745.843µs,515.349µs,1
F11712#F10184,4.800254ms,2.873419ms,1
F11817#F11817,2.98895ms,1.854562ms,0
F24642#F58410,745.039µs,438.465µs,1
F16801#F16801,1.687424ms,917.992µs,0
