keyword,clientSearchTime,serverTime,resultLength
F24246#F35798,149.584µs,182.834µs,0
F26058#F38169,832.542µs,212.416µs,1
F457#F15241,1.196042ms,1.777083ms,5
F62532#F15114,166.542µs,243.666µs,0
F37132#F62283,135.166µs,129.709µs,0
F2958#F6934,3.512375ms,29.772541ms,5
F29629#F50883,619.209µs,649µs,2
F52605#F49058,320.417µs,423.917µs,0
F42050#F2458,726.708µs,382.459µs,2
F36254#F43672,826.333µs,4.350625ms,5
F11896#F44969,811.542µs,1.191875ms,1
F3909#F59272,581.25µs,296.458µs,0
F41795#F27576,1.091417ms,534.042µs,0
F2999#F20262,1.321167ms,2.07475ms,2
F8525#F26798,621.333µs,335.917µs,0
F59733#F41500,144.958µs,152.334µs,0
F49195#F46528,181.75µs,146.083µs,1
F26843#F46242,155.583µs,191.334µs,0
F40583#F28826,703.333µs,686.417µs,2
F38843#F42223,662.501µs,286.75µs,0
F10183#F59310,108.916µs,149.959µs,0
F60824#F56307,200.875µs,140.167µs,0
F39720#F52890,436.542µs,363.792µs,1
F53391#F24437,262.667µs,162.875µs,0
F55048#F24688,343.334µs,270.875µs,0
F17480#F62906,147.167µs,129.792µs,0
F22593#F38594,1.273417ms,735.417µs,2
F1642#F61189,135.875µs,234.458µs,0
F38885#F24171,1.116667ms,502.5µs,1
F60353#F27483,138.625µs,253.458µs,0
F36386#F3771,1.133042ms,408.708µs,0
F35791#F35783,99.624µs,65.375µs,1
F29543#F44082,223.626µs,233.917µs,0
F56421#F23162,128.334µs,156.542µs,0
F48150#F16730,404.75µs,543.458µs,0
F32167#F48740,127.041µs,133.208µs,0
F47087#F25311,178.832µs,248.75µs,0
F17021#F29910,508.625µs,510.916µs,3
F11017#F51717,689.709µs,709.041µs,1
F21385#F11576,628.917µs,489.25µs,2
F4854#F48290,246.208µs,257.708µs,0
F3496#F62535,135.042µs,456.708µs,0
F58390#F49861,257.167µs,250.459µs,0
F52209#F58202,401.5µs,165.459µs,0
F32175#F54382,141.208µs,181.375µs,0
F51949#F55988,284.041µs,224.375µs,1
F12617#F35280,189.833µs,295.167µs,0
F754#F40813,734.625µs,214.208µs,0
F61890#F11570,72.583µs,166.916µs,1
F46162#F45533,276.459µs,328.625µs,1
F61711#F53614,147.417µs,173.792µs,0
F20924#F4508,2.544875ms,2.482916ms,5
F57126#F4272,321.292µs,209.166µs,1
F14692#F1529,1.782458ms,1.572708ms,5
F21381#F4772,735µs,804.25µs,1
F39842#F60584,105.417µs,167.25µs,0
F54528#F39519,474.876µs,252.5µs,0
F17576#F21754,140.459µs,754.875µs,0
F60230#F62817,192.25µs,190.709µs,0
F34731#F43115,650.583µs,291.167µs,0
F48398#F962,268.541µs,285.958µs,0
F19158#F25032,1.068541ms,1.221125ms,2
F28213#F39050,435.667µs,561.584µs,0
F14611#F59055,143.959µs,140.541µs,0
F45828#F8419,145.125µs,155.542µs,0
F2758#F30923,142.25µs,136.166µs,0
F52551#F61696,150.958µs,127.25µs,0
F16044#F20392,1.523209ms,782.916µs,3
F53978#F38847,132.375µs,73.125µs,0
F40856#F34921,258.958µs,549.542µs,0
F10420#F27963,1.065374ms,710.125µs,1
F6436#F4970,12.599208ms,599.875µs,1
F6585#F10415,835.375µs,810.75µs,1
F49441#F6340,348.917µs,338.25µs,1
F53873#F32236,150.166µs,157µs,0
F21747#F31730,403.042µs,279.708µs,1
F4815#F15632,2.092666ms,2.159459ms,7
F10317#F37978,297.334µs,320.5µs,1
F52380#F42236,194.334µs,257.459µs,0
F44397#F34211,1.043458ms,955.375µs,1
F49383#F16405,916.583µs,680.792µs,3
F25274#F42129,476.25µs,597.417µs,1
F35442#F17051,231.251µs,177.125µs,1
F11521#F11840,1.083416ms,764.709µs,0
F61173#F27526,121.25µs,129.042µs,0
F1598#F4877,2.045041ms,5.558209ms,4
F62878#F31375,168.999µs,132.791µs,0
F28558#F62327,162.916µs,135.333µs,0
F47324#F25660,204.458µs,314.667µs,0
F57898#F34567,191.25µs,137.959µs,1
F4755#F11840,933.458µs,639.458µs,0
F41800#F22473,366.708µs,671.917µs,0
F33746#F23605,415.709µs,451.5µs,1
F50542#F24824,227.042µs,124.5µs,1
F28036#F13852,1.132125ms,1.242709ms,2
F59044#F23571,207.584µs,300.917µs,0
F40782#F22566,343.541µs,250.875µs,0
F39751#F25312,134.625µs,118.375µs,0
F13664#F5675,1.115876ms,1.871625ms,5
F23244#F52991,306.792µs,274.417µs,1
F54135#F45471,265.958µs,396.083µs,0
F46650#F48765,361µs,388.417µs,0
F17860#F20917,1.144709ms,1.890917ms,3
F15548#F36720,339.542µs,307.334µs,0
F13456#F7466,1.666333ms,2.336792ms,6
F63263#F9303,116.708µs,110.666µs,0
F22294#F45407,774.125µs,677.583µs,1
F25994#F61924,124.124µs,121.333µs,0
F11538#F30424,1.119876ms,1.472667ms,1
F789#F13260,1.891542ms,1.051084ms,4
F24504#F22388,242.167µs,298.625µs,1
F8043#F21441,829.958µs,906.542µs,1
F24055#F56142,112.709µs,118.333µs,0
F13096#F5112,1.48075ms,1.599667ms,6
F61622#F30423,123.667µs,217.5µs,0
F13929#F29974,371.125µs,440.709µs,0
F2164#F27095,660.709µs,464.875µs,2
F24699#F40274,433.667µs,556.917µs,0
F8338#F15187,2.05625ms,2.627208ms,6
F13683#F22982,939.5µs,969.792µs,0
F58736#F51541,134.292µs,149.291µs,0
F42967#F4575,615µs,286.25µs,1
F56352#F29439,117.208µs,110.125µs,0
F51153#F1510,429.958µs,637.5µs,2
F28386#F56126,142.917µs,317.417µs,1
F13853#F1750,1.149167ms,823.5µs,2
F45288#F56532,324.459µs,343.5µs,0
F61245#F62464,117.833µs,148.833µs,0
F2676#F58562,257.833µs,136.5µs,0
F8148#F48172,159.541µs,167.792µs,0
F50296#F39375,681.834µs,818.084µs,0
F48065#F33296,151.208µs,145.208µs,0
F61158#F1621,117.125µs,152.25µs,0
F10589#F40937,606.25µs,535.625µs,2
F30450#F33264,115.834µs,222.167µs,0
F9094#F23375,1.086375ms,7.320958ms,5
F21911#F63172,310µs,218.25µs,0
F2273#F25824,1.606791ms,995.25µs,1
F19773#F48342,413.667µs,487.167µs,3
F37346#F56351,125.791µs,118.416µs,0
F1369#F44212,114.834µs,187.041µs,0
F29520#F7691,125.583µs,167.125µs,0
F57524#F25531,150.999µs,68.583µs,1
F15195#F26748,925.75µs,442.958µs,3
F56319#F63656,65.75µs,113.583µs,0
F12800#F33265,112.792µs,155.042µs,0
F3709#F44661,448.292µs,616.166µs,2
F57344#F10361,304.875µs,414.042µs,1
F20555#F44086,219.291µs,318.958µs,1
F24754#F23172,3.750417ms,2.920417ms,3
F6509#F6860,7.228833ms,1.64175ms,4
F16393#F21911,982.959µs,1.460584ms,3
F6806#F27085,368.375µs,333.875µs,0
F13665#F51673,128µs,284.208µs,0
F43756#F12114,364.792µs,460.75µs,3
F35589#F61753,150.709µs,187.792µs,0
F17478#F10040,2.7415ms,2.364333ms,2
F26052#F29467,1.048375ms,982.375µs,1
F10826#F19437,928.042µs,540.208µs,4
F13629#F35017,170.334µs,153.666µs,0
F16127#F43345,487.375µs,486µs,2
F5070#F5679,1.194125ms,1.445209ms,1
F45902#F50366,337.792µs,527µs,0
