keyword,clientSearchTime,serverTime,resultLength
F30450#F33264,711.206µs,981.357564ms,0
F9094#F23375,3.457767ms,1.252590533s,33
F21911#F63172,729.486µs,995.9085ms,1
F2273#F25824,2.7963ms,1.207943947s,21
F19773#F48342,1.195676ms,889.913696ms,8
F37346#F56351,847.782µs,735.452476ms,1
F1369#F44212,657.573µs,970.376147ms,1
F29520#F7691,660.171µs,1.033129768s,1
F57524#F25531,731.361µs,937.255655ms,1
F15195#F26748,2.730535ms,1.096943858s,14
F56319#F63656,704.939µs,1.055791484s,0
F12800#F33265,658.239µs,1.06122825s,1
F3709#F44661,1.948277ms,943.164365ms,9
F57344#F10361,1.379972ms,663.485752ms,7
F20555#F44086,1.00067ms,710.747625ms,5
F24754#F23172,2.343716ms,1.19674275s,16
F6509#F6860,2.782338ms,1.411161517s,38
F16393#F21911,2.748879ms,1.221400078s,23
F6806#F27085,799.209µs,737.021573ms,3
F13665#F51673,665.574µs,1.076210648s,0
F43756#F12114,1.987511ms,886.214841ms,8
F35589#F61753,763.633µs,1.096794093s,1
F17478#F10040,4.054359ms,1.16284909s,34
F26052#F29467,2.488293ms,1.087475899s,13
F10826#F19437,1.694428ms,1.073200748s,11
F13629#F35017,2.861875ms,799.507044ms,1
F16127#F43345,2.236816ms,866.240386ms,13
F5070#F5679,2.690416ms,1.21953545s,24
F45902#F50366,605.583µs,659.841078ms,5
F7948#F24551,2.01411ms,1.206249228s,24
F37278#F63265,722.051µs,923.408803ms,0
F46630#F19402,1.479012ms,717.158004ms,9
F60778#F37053,919.238µs,717.404422ms,3
F4859#F5455,2.297428ms,1.203294095s,23
F11950#F48635,1.453324ms,922.641368ms,11
F17557#F35400,923.163µs,903.830735ms,1
F1287#F19050,3.124635ms,1.224001101s,28
F7696#F41610,1.061512ms,694.565133ms,4
F16335#F2744,2.599307ms,1.166746775s,33
F8106#F15384,2.588984ms,1.186325636s,31
F19821#F58465,720.119µs,1.051632464s,0
F10407#F48016,1.400964ms,670.411601ms,7
F14712#F41813,1.136626ms,799.956975ms,7
F41270#F57368,1.309707ms,680.814417ms,2
F46301#F29640,1.267107ms,660.286639ms,0
F9547#F50137,1.19013ms,635.616522ms,3
F30097#F17556,734.315µs,1.028386296s,0
F4784#F19703,3.372668ms,1.207398215s,24
F10919#F9077,2.047854ms,1.193653463s,13
F58775#F29139,736.759µs,1.059791084s,1
F26280#F13457,3.221312ms,1.216437941s,23
F59680#F45072,1.23533ms,1.017815815s,1
F3376#F28728,2.795496ms,1.200847913s,18
F18419#F40682,1.550781ms,807.284858ms,12
F4450#F53724,728.964µs,1.039795604s,0
F55921#F16612,1.301647ms,733.17948ms,2
F54888#F15169,1.037644ms,704.735899ms,3
F30877#F59645,758.52µs,952.925746ms,0
F26207#F62660,648.202µs,909.746536ms,1
F53294#F45563,1.418041ms,866.193784ms,4
F22473#F2256,2.68358ms,1.20320071s,18
F5292#F32116,717.596µs,1.114161678s,1
F43606#F28999,1.52881ms,680.379291ms,4
F51577#F30826,718.868µs,1.01153749s,0
F30835#F17146,1.578004ms,661.343938ms,6
F40081#F1589,1.650188ms,984.889577ms,12
F2723#F38030,2.311566ms,1.201016793s,20
F32941#F13810,957.306µs,707.867477ms,3
F42158#F32772,672.836µs,988.18278ms,0
F48472#F737,1.710743ms,831.329344ms,9
F43701#F62624,790.325µs,972.864432ms,0
F27127#F16795,2.111583ms,1.087497225s,14
F14461#F37121,1.976143ms,1.134659161s,17
F51844#F20991,1.81468ms,976.967743ms,7
F58208#F11269,731.438µs,929.61986ms,1
F27158#F35900,968.736µs,749.606507ms,1
F6702#F40719,1.95523ms,1.031558695s,9
F8576#F29016,1.765961ms,1.052464629s,13
F18181#F53998,721.073µs,1.051476333s,1
F51685#F60433,1.043317ms,686.801383ms,1
F41386#F5654,1.770826ms,1.173851703s,12
F57845#F44970,857.76µs,788.962273ms,1
F48153#F4495,1.631192ms,763.350527ms,10
F8783#F60477,891.472µs,852.356082ms,2
F12803#F31530,2.335104ms,1.258334293s,17
F11466#F14017,1.650128ms,655.610744ms,4
F15444#F2216,2.751478ms,1.193797198s,36
F29316#F16772,236.307µs,1.090872085s,0
F39635#F62485,693.939µs,1.151441978s,1
F9223#F49033,2.616122ms,1.103705239s,14
F1686#F61899,748.193µs,1.139206204s,1
F59551#F50526,557.649µs,853.747166ms,1
F49479#F23598,1.523513ms,814.416752ms,5
F33434#F3368,722.744µs,1.067771336s,1
F21303#F44300,1.400302ms,669.259853ms,2
F51282#F14005,839.275µs,718.654791ms,1
F8853#F60112,739.394µs,964.307939ms,1
F38328#F24129,2.196352ms,994.218547ms,8
F31427#F30798,2.12673ms,1.050572372s,9
F34727#F14422,720.656µs,1.153418899s,1
F52825#F7704,1.431991ms,684.862854ms,6
F333#F450,5.355571ms,2.080904486s,65
F33268#F31000,2.653506ms,967.92358ms,1
F52083#F32044,686.2µs,762.331649ms,2
F30056#F18963,1.96229ms,882.158836ms,7
F59560#F13581,949.292µs,823.608512ms,2
F23283#F7907,2.789744ms,1.208747152s,23
F48211#F27143,1.173818ms,691.477573ms,2
F36578#F40079,1.598799ms,691.551911ms,3
F3966#F47815,1.036111ms,724.182902ms,4
F34847#F30032,1.213555ms,656.929993ms,6
F30589#F12721,993.062µs,667.658954ms,3
F37668#F28604,825.86µs,657.706659ms,3
F1456#F10582,1.684167ms,1.197747246s,11
F11889#F56019,1.055059ms,688.375037ms,2
F34042#F41183,1.207355ms,663.196544ms,2
