keyword,clientSearchTime,serverTime,resultLength
F60878#F27375#F14040#F32259#F30146#F63200,2.842934ms,990.719719ms,0
F56397#F12363#F54377#F62905#F42333#F45223,2.984455ms,955.522723ms,0
F44755#F27751#F59240#F41352#F38743#F28730,2.693799ms,1.000060477s,0
F32627#F57532#F44050#F18953#F29104#F38144,2.782757ms,1.004984733s,0
F53155#F29664#F7613#F61754#F46441#F40242,2.766522ms,1.005808287s,0
F52734#F19144#F30377#F47593#F51491#F61655,2.689103ms,952.41478ms,0
F11516#F40319#F11043#F40021#F53178#F7046,2.670235ms,730.406293ms,1
F33415#F59859#F37845#F2980#F13079#F30089,2.698226ms,907.501197ms,0
F58874#F41784#F57308#F32735#F10578#F11916,3.229963ms,681.380975ms,1
F55952#F3840#F15917#F164#F58690#F26996,2.810182ms,920.338398ms,0
F54067#F30448#F31662#F61780#F49703#F7533,2.684053ms,926.225515ms,0
F48978#F45445#F23383#F32079#F13778#F22689,3.243662ms,650.312104ms,3
F59781#F45743#F46351#F60779#F61797#F21980,2.70111ms,932.20535ms,0
F56558#F30911#F3824#F59862#F18241#F30353,2.676214ms,915.782953ms,0
F1076#F33563#F28253#F10165#F26774#F36234,3.265325ms,674.068683ms,0
F27077#F11177#F57345#F60529#F16516#F49385,2.714396ms,850.741114ms,0
F47146#F18759#F22998#F26622#F37773#F61080,3.125987ms,729.064246ms,1
F40262#F22874#F2885#F47199#F26729#F142,2.804906ms,843.35298ms,0
F16009#F33990#F11099#F7173#F636#F51156,4.533023ms,690.726522ms,3
F41640#F38029#F35080#F58325#F63340#F59072,2.443615ms,899.80994ms,0
F49022#F42601#F42417#F59115#F58393#F62384,2.643235ms,867.078176ms,0
F29834#F54001#F54916#F6301#F61016#F53121,2.379713ms,907.914227ms,0
F18913#F1838#F24222#F35712#F35622#F19836,2.632462ms,889.537056ms,0
F57840#F24617#F16991#F6642#F22090#F54844,2.964491ms,748.631885ms,0
F5585#F4548#F10161#F21735#F19697#F47914,3.977174ms,644.821173ms,1
F4574#F14829#F51341#F62546#F41318#F43896,2.81199ms,924.343039ms,0
F58087#F8635#F19192#F6817#F21128#F16916,2.669566ms,917.492465ms,1
F54550#F868#F21705#F9491#F50089#F29476,3.398541ms,628.917776ms,1
F20467#F53064#F1096#F17772#F11215#F22105,3.26853ms,651.645509ms,3
F42440#F10965#F38259#F50812#F59167#F2631,2.761274ms,880.722551ms,0
F15655#F35842#F52835#F19668#F50828#F41190,2.647988ms,904.505312ms,0
F46297#F6897#F58017#F17639#F24464#F62529,2.648058ms,890.32573ms,0
F43378#F30036#F54084#F3924#F46709#F26456,3.563852ms,636.828921ms,0
F55584#F28636#F57513#F20741#F9568#F50908,2.70451ms,905.90739ms,0
F47531#F62818#F44281#F58023#F28888#F52800,2.688875ms,873.578478ms,0
F4964#F31940#F52475#F45519#F41534#F27483,3.341957ms,696.328487ms,1
F20887#F56057#F20949#F34322#F7261#F16063,2.876025ms,745.370022ms,0
F4712#F10552#F4720#F40723#F51833#F19505,2.692112ms,913.582131ms,1
F446#F9530#F8936#F46697#F38977#F27737,4.234663ms,927.559513ms,1
F60725#F37994#F56147#F23365#F16387#F44811,831.136µs,1.227247695s,0
F20089#F8587#F7660#F31202#F43906#F23172,1.408409ms,870.052031ms,3
F3033#F48825#F20744#F39386#F47771#F60662,3.356885ms,633.351855ms,1
F37150#F5995#F34446#F59696#F41517#F7147,2.803476ms,750.820257ms,0
F22461#F33799#F47934#F35405#F30014#F48405,2.675327ms,1.042787564s,0
F50847#F1388#F10494#F2442#F39175#F24598,3.899592ms,643.055846ms,2
F25005#F32159#F26982#F10617#F2662#F22306,2.852007ms,923.861875ms,0
F34266#F29514#F15581#F32538#F23385#F11583,2.713577ms,960.493748ms,0
F50145#F8879#F840#F26662#F28390#F8200,4.248443ms,650.852779ms,4
F13222#F5707#F28388#F18827#F32818#F11659,2.679854ms,1.062442972s,0
F60767#F29890#F39040#F5770#F28620#F25562,3.460129ms,683.257243ms,0
F58466#F40714#F9454#F12948#F26293#F45971,2.744028ms,895.227529ms,1
F45822#F35615#F55892#F32604#F9677#F61101,2.655284ms,884.34381ms,0
F47736#F46452#F28475#F10352#F11474#F60084,2.643299ms,937.53042ms,0
F40947#F60937#F14097#F49698#F9403#F11889,2.744107ms,937.169452ms,0
F52210#F21343#F58342#F51684#F36921#F59428,2.711009ms,855.486306ms,1
F37497#F1813#F47860#F9252#F59198#F7831,3.004434ms,945.952358ms,0
F54350#F35397#F21575#F34350#F27619#F55861,2.995186ms,745.865768ms,0
F5461#F48013#F1206#F20302#F51958#F40236,3.231952ms,655.731394ms,0
F40292#F55826#F2240#F40611#F33635#F49373,2.657745ms,1.011488924s,0
F23478#F40717#F44904#F58230#F56294#F21962,2.644779ms,965.039255ms,0
F9984#F56452#F22369#F52674#F20419#F12929,3.090944ms,715.462233ms,1
F57479#F37250#F20335#F32795#F16118#F36307,2.807298ms,704.788544ms,0
F20575#F61500#F6953#F45340#F25524#F25713,2.742346ms,945.115748ms,0
F48649#F24204#F7423#F47551#F46854#F42768,3.224325ms,705.285902ms,1
F43544#F55393#F13836#F16174#F62956#F22799,2.985016ms,683.176591ms,1
F15111#F50554#F51018#F62201#F36941#F49723,2.711214ms,909.339112ms,0
F47159#F14571#F86#F19845#F27662#F18163,3.389278ms,674.637435ms,0
F14406#F163#F2320#F7479#F8193#F53323,3.852865ms,637.970345ms,3
F42150#F60728#F22100#F33204#F39997#F5444,2.793393ms,905.14642ms,0
F15979#F27008#F48435#F5989#F30710#F40582,4.492497ms,952.62352ms,6
F4050#F5347#F36778#F46458#F48451#F6140,4.249815ms,718.590022ms,2
F40305#F388#F59203#F37652#F39654#F51149,2.893165ms,699.087652ms,0
F12660#F2249#F51616#F34158#F62951#F7782,2.937015ms,938.678762ms,0
F29777#F61066#F57204#F11092#F8341#F55979,2.682393ms,942.480678ms,0
F48945#F16664#F55827#F39448#F40675#F28696,3.02159ms,664.275703ms,0
F43467#F17093#F23182#F54654#F7491#F2339,4.075297ms,689.239878ms,1
F13849#F46333#F43998#F2997#F15192#F24604,2.817556ms,683.506516ms,1
F19296#F32003#F39180#F47992#F17457#F41486,3.503147ms,643.966503ms,0
F36906#F50593#F4007#F51469#F56910#F20422,3.010406ms,902.150832ms,0
F42636#F54586#F7624#F40901#F27876#F868,2.935882ms,801.765206ms,1
F57816#F6241#F3101#F17018#F33653#F46025,3.010633ms,914.535894ms,0
F14208#F32130#F37993#F35293#F52371#F50231,3.186531ms,680.718588ms,0
F13258#F22228#F35285#F28340#F25904#F12102,2.870679ms,713.914848ms,1
F46639#F35127#F25480#F49430#F20992#F42364,3.213258ms,672.253282ms,0
F10291#F46697#F46064#F18297#F11098#F34925,2.910378ms,803.68915ms,0
F4741#F22078#F48540#F19967#F35084#F24161,3.819427ms,638.807858ms,3
F9064#F33474#F18373#F53911#F56924#F37349,2.723246ms,942.054121ms,0
F1385#F46507#F25089#F34185#F45470#F13194,3.062316ms,742.340512ms,0
F29094#F18818#F3713#F39061#F59545#F13604,2.649282ms,897.01118ms,0
F42149#F23379#F51476#F5717#F36324#F26458,2.879589ms,708.838301ms,0
F16370#F7377#F1860#F11181#F9186#F58514,2.675666ms,720.744704ms,2
F55628#F41976#F30483#F33725#F23399#F31826,2.882225ms,663.824855ms,0
F24451#F32789#F36532#F19164#F5965#F41937,2.657562ms,876.00863ms,1
F21368#F43021#F43545#F36818#F39288#F3536,3.163381ms,702.43136ms,1
F15392#F51457#F34827#F38503#F45132#F26914,2.874375ms,918.244017ms,0
F42019#F47642#F36362#F22#F29474#F47762,4.8659ms,929.159103ms,2
F55575#F30885#F54558#F1286#F56127#F13565,1.055669ms,1.234860542s,0
F57483#F53913#F44768#F51129#F60720#F50940,1.223559ms,988.25444ms,0
F263#F52990#F9628#F49854#F21047#F56189,3.046542ms,782.604151ms,0
F18644#F11828#F57772#F59249#F39878#F54474,2.653221ms,876.817297ms,0
F34248#F43230#F41811#F9750#F39043#F21340,2.843611ms,729.910157ms,0
F25739#F17585#F49095#F6174#F17832#F55081,2.661303ms,859.357318ms,1
