keyword,clientSearchTime,serverTime,resultLength
F24246#F35798,212.091µs,1.030015277s,1
F26058#F38169,4.369912ms,8.071763297s,7
F457#F15241,27.420231ms,53.205947916s,36
F62532#F15114,572.832µs,961.875176ms,1
F37132#F62283,591.084µs,975.059466ms,0
F2958#F6934,37.788489ms,1m23.086267425s,62
F29629#F50883,6.256651ms,13.99140442s,8
F52605#F49058,2.400814ms,3.697171821s,2
F42050#F2458,4.693559ms,8.237887457s,5
F36254#F43672,10.07496ms,17.430551359s,13
F11896#F44969,5.958028ms,10.163635748s,11
F3909#F59272,1.055636ms,1.871985751s,1
F41795#F27576,4.653578ms,7.949171985s,8
F2999#F20262,16.657273ms,29.409057273s,25
F8525#F26798,3.89462ms,6.574502606s,6
F59733#F41500,544.967µs,964.228385ms,0
F49195#F46528,1.579983ms,2.81989525s,2
F26843#F46242,2.269773ms,3.685674195s,3
F40583#F28826,3.191879ms,19.592170351s,16
F38843#F42223,5.365714ms,9.108607275s,6
F10183#F59310,1.070303ms,1.78418685s,2
F60824#F56307,560.272µs,886.983128ms,0
F39720#F52890,5.203952ms,9.189683735s,5
F53391#F24437,3.131266ms,5.528847889s,4
F55048#F24688,3.395979ms,5.62241088s,4
F17480#F62906,545.773µs,852.013755ms,1
F22593#F38594,11.534999ms,19.456403683s,10
F1642#F61189,548.57µs,941.502825ms,1
F38885#F24171,7.309167ms,13.183159848s,9
F60353#F27483,588.305µs,1.027089626s,1
F36386#F3771,8.195195ms,13.577058956s,11
F35791#F35783,555.581µs,902.443616ms,0
F29543#F44082,3.172384ms,5.577830846s,0
F56421#F23162,550.044µs,890.52419ms,1
F48150#F16730,6.048365ms,9.882439496s,8
F32167#F48740,1.117114ms,1.776717125s,1
F47087#F25311,2.363096ms,3.683363299s,2
F17021#F29910,7.841778ms,12.971635221s,11
F11017#F51717,8.799243ms,14.537515476s,7
F21385#F11576,7.965519ms,13.548431304s,7
F4854#F48290,2.247795ms,3.669255755s,4
F3496#F62535,601.591µs,860.869906ms,1
F58390#F49861,567.602µs,932.87828ms,0
F52209#F58202,1.157739ms,1.767379115s,0
F32175#F54382,547.079µs,963.589352ms,0
F51949#F55988,3.636315ms,6.429774604s,4
F12617#F35280,1.281378ms,1.83858939s,1
F754#F40813,4.393334ms,7.407866088s,8
F61890#F11570,547.539µs,925.923913ms,0
F46162#F45533,3.263676ms,5.550204642s,4
F61711#F53614,543.15µs,951.094352ms,1
F20924#F4508,22.199987ms,40.758449715s,30
F57126#F4272,1.221016ms,1.789412553s,1
F14692#F1529,28.223658ms,51.631142593s,37
F21381#F4772,7.384234ms,12.714702527s,11
F39842#F60584,588.955µs,903.26338ms,0
F54528#F39519,2.641476ms,4.658819351s,5
F17576#F21754,629.39µs,963.649256ms,1
F60230#F62817,565.147µs,915.977182ms,0
F34731#F43115,1.749954ms,2.806272057s,1
F48398#F962,2.199044ms,3.836398978s,3
F19158#F25032,17.096149ms,29.485422206s,25
F28213#F39050,6.7232ms,11.184111188s,5
F14611#F59055,557.994µs,873.955174ms,1
F45828#F8419,1.232752ms,1.799790906s,2
F2758#F30923,1.121077ms,1.887676228s,2
F52551#F61696,599.986µs,905.503644ms,0
F16044#F20392,11.799737ms,19.628625028s,18
F53978#F38847,1.125366ms,1.760239602s,0
F40856#F34921,2.599026ms,4.562440884s,1
F10420#F27963,4.99079ms,8.143902582s,9
F6436#F4970,8.39878ms,13.876458615s,12
F6585#F10415,13.002016ms,20.916723003s,16
F49441#F6340,4.947178ms,8.528721049s,8
F53873#F32236,548.007µs,923.637854ms,0
F21747#F31730,3.107359ms,5.540491376s,2
F4815#F15632,31.705102ms,1m3.038487274s,45
F10317#F37978,3.105909ms,5.589187949s,3
F52380#F42236,2.191404ms,3.645190945s,2
F44397#F34211,7.934264ms,12.74267805s,7
F49383#F16405,10.366454ms,16.79126961s,12
