KeywordCount,Storage(Bytes)
1,33280
2,33280
3,33280
4,33280
5,33280
6,33280
7,33280
8,33280
9,33280
10,33280
11,33280
12,33280
13,33280
14,33280
15,33280
16,33280
17,33280
18,33280
19,33280
20,33280
21,33280
22,33280
23,33280
24,33280
25,33280
26,33280
27,33280
28,33280
29,33280
30,33280
31,33280
32,33280
33,33280
34,33280
35,33280
36,33280
37,33280
38,33280
39,33280
40,33280
41,33280
42,33280
43,33280
44,33280
45,33280
46,33280
47,33280
48,33280
49,33280
50,33280
51,33280
52,33280
53,33280
54,33280
55,33280
56,33280
57,33280
58,33280
59,33280
60,33280
61,33280
62,33280
63,33280
64,33280
65,33280
66,33280
67,33280
68,33280
69,33280
70,33280
71,33280
72,33280
73,33280
74,33280
75,33280
76,33280
77,33280
78,33280
79,33280
80,33280
81,33280
82,33280
83,33280
84,33280
85,33280
86,33280
87,33280
88,33280
89,33280
90,33280
91,33280
92,33280
93,33280
94,33280
95,33280
96,33280
97,33280
98,33280
99,33280
100,33280
101,33280
102,33280
103,33280
104,33280
105,33280
106,33280
107,33280
108,33280
109,33280
110,33280
111,33280
112,33280
113,33280
114,33280
115,33280
116,33280
117,33280
118,33280
119,33280
120,33280
121,33280
122,33280
123,33280
124,33280
125,33280
126,33280
127,33280
128,33280
129,33280
130,33280
131,33280
132,33280
133,33280
134,33280
135,33280
136,33280
137,33280
138,33280
139,33280
140,33280
141,33280
142,33280
143,33280
144,33280
145,33280
146,33280
147,33280
148,33280
149,33280
150,33280
151,33280
152,33280
153,33280
154,33280
155,33280
156,33280
157,33280
158,33280
159,33280
160,33280
161,33280
162,33280
163,33280
164,33280
165,33280
166,33280
167,33280
168,33280
169,33280
170,33280
171,33280
172,33280
173,33280
174,33280
175,33280
176,33280
177,33280
178,33280
179,33280
180,33280
181,33280
182,33280
183,33280
184,33280
185,33280
186,33280
187,33280
188,33280
189,33280
190,33280
191,33280
192,33280
193,33280
194,33280
195,33280
196,33280
197,33280
198,33280
199,33280
200,33280
201,33280
202,33280
203,33280
204,33280
205,33280
206,33280
