keyword,volume,addTime,storageUpdateBytes
F0,75,573.872534ms,13188
F1,70,151.677796ms,12308
F2,57,55.472797ms,10028
F3,41,34.672708ms,7204
F4,99,366.692733ms,17400
F5,103,989.234417ms,18108
F6,48,35.415687ms,8440
F7,77,71.316545ms,13524
F8,44,28.139689ms,7736
F9,69,61.869279ms,12136
F10,68,50.857146ms,11952
F11,88,69.603647ms,15468
F12,50,34.064346ms,8792
F13,84,64.905539ms,14772
F14,97,86.576744ms,17056
F15,62,34.39585ms,10884
F16,1,612.965µs,176
F17,1,619.242µs,176
F18,17,7.352996ms,2988
F19,82,50.160564ms,14412
F20,107,64.276293ms,18808
F21,90,51.953747ms,15824
F22,51,26.464616ms,8952
F23,34,15.935982ms,5980
F24,36,15.54004ms,6328
F25,49,18.408681ms,8612
F26,79,43.791807ms,13876
F27,24,7.605534ms,4216
F28,132,151.286993ms,23192
F29,1,535.54µs,176
F30,56,28.768834ms,9840
F31,35,13.477396ms,6152
F32,57,25.294026ms,10016
F33,87,49.576175ms,15296
F34,83,40.612817ms,14588
F35,123,151.604136ms,21632
F36,99,45.71303ms,17400
F37,2,1.559853ms,352
F38,62,20.317418ms,10900
F39,31,10.166126ms,5448
F40,87,41.769843ms,15292
F41,120,52.992826ms,21096
F42,91,54.10521ms,15992
F43,92,31.893674ms,16172
F44,108,55.736912ms,18976
F45,101,45.741745ms,17748
F46,160,250.789592ms,28116
F47,97,43.523251ms,17040
F48,10,3.459817ms,1756
F49,112,50.186959ms,19696
F50,26,7.583328ms,4568
F51,57,18.687263ms,10020
F52,71,28.496168ms,12488
F53,41,12.950453ms,7208
F54,78,32.212578ms,13708
F55,61,25.146122ms,10716
F56,32,9.12801ms,5628
F57,25,6.201238ms,4396
F58,87,37.81529ms,15292
F59,63,26.850845ms,11080
F60,57,21.331087ms,10020
F61,84,34.305124ms,14772
F62,80,33.16087ms,14048
F63,67,25.098039ms,11768
F64,53,17.813206ms,9320
F65,105,48.298648ms,18468
F66,42,11.765561ms,7380
F67,54,19.874558ms,9492
F68,77,28.440903ms,13516
F69,80,28.513192ms,14072
F70,63,99.834475ms,11064
F71,47,399.743016ms,8260
F72,128,682.745528ms,22504
F73,95,92.400446ms,16700
F74,32,26.755924ms,5624
F75,113,57.755386ms,19864
F76,55,14.559316ms,9668
F77,50,12.80361ms,8784
F78,176,73.499034ms,30928
F79,115,36.053232ms,20220
F80,125,45.380362ms,21980
F81,36,8.897792ms,6324
F82,122,39.875452ms,21444
F83,3,922.384µs,528
F84,96,29.08945ms,16872
